#Scan#,Adduct,CAS_Number,Charge,Compound_Name,Compound_Source,Data_Collector,ExactMass,FileScanUniqueID,INCHI,INCHI_AUX,Instrument,IonMode,Ion_Source,LibMZ,LibraryName,LibraryQualityString,Library_Class,MQScore,MZErrorPPM,MassDiff,NumberHits,Organism,PI,Precursor_MZ,Pubmed_ID,RT_Query,SharedPeaks,Smiles,SpecCharge,SpecMZ,SpectrumFile,SpectrumID,TIC_Query,UpdateWorkflowName,tags,internalFilename,Important_DOM,Important_Org
4071,M+H,104874502,1,(.+/-.)-11-Nor-.DELTA.9-tetrahydrocannabinol-9-carboxylic acid,Isolated,NIST,0,spectra/specs_ms.mgf4071,"InChI=1S/C21H28O4/c1-4-5-6-7-13-10-17(22)19-15-12-14(20(23)24)8-9-16(15)21(2,3)25-18(19)11-13/h10-12,15-16,22H,4-9H2,1-3H3,(H,23,24)",N/A,HCD,Positive,ESI,345.206,lib-00052.mgf,Bronze,3,0.936766,23085.6,7.9693,1,NIST17,NIST,345.206,N/A,0,4,CCCCCC1=CC2=C(C3C=C(CCC3C(O2)(C)C)C(=O)O)C(=C1)O,1,337.237,specs_ms.mgf,CCMSLIB00003497259,1560000,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
5569,M+H,104874502,1,(.+/-.)-11-Nor-.DELTA.9-tetrahydrocannabinol-9-carboxylic acid,Isolated,NIST,0,spectra/specs_ms.mgf5569,"InChI=1S/C21H28O4/c1-4-5-6-7-13-10-17(22)19-15-12-14(20(23)24)8-9-16(15)21(2,3)25-18(19)11-13/h10-12,15-16,22H,4-9H2,1-3H3,(H,23,24)",N/A,HCD,Positive,ESI,345.206,lib-00052.mgf,Bronze,3,0.84801,185489,64.0318,1,NIST17,NIST,345.206,N/A,0,5,CCCCCC1=CC2=C(C3C=C(CCC3C(O2)(C)C)C(=O)O)C(=C1)O,1,281.174,specs_ms.mgf,CCMSLIB00003497260,1040000,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
5591,M+H,104874502,1,(.+/-.)-11-Nor-.DELTA.9-tetrahydrocannabinol-9-carboxylic acid,Isolated,NIST,0,spectra/specs_ms.mgf5591,"InChI=1S/C21H28O4/c1-4-5-6-7-13-10-17(22)19-15-12-14(20(23)24)8-9-16(15)21(2,3)25-18(19)11-13/h10-12,15-16,22H,4-9H2,1-3H3,(H,23,24)",N/A,IT-FT/ion trap with FTMS,Positive,ESI,345.206,lib-00052.mgf,Bronze,3,0.848488,23085.4,7.96921,1,NIST17,NIST,345.206,N/A,0,4,CCCCCC1=CC2=C(C3C=C(CCC3C(O2)(C)C)C(=O)O)C(=C1)O,1,337.237,specs_ms.mgf,CCMSLIB00003497272,701280,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
4122,M+H,166100396,1,(.+/-.)-2-Methylarachidonoyl-2'-fluoroethylamide,Isolated,NIST,0,spectra/specs_ms.mgf4122,"InChI=1S/C23H38FNO/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-22(2)23(26)25-21-20-24/h7-8,10-11,13-14,16-17,22H,3-6,9,12,15,18-21H2,1-2H3,(H,25,26)/b8-7-,11-10-,14-13-,17-16-",N/A,HCD,Positive,ESI,364.301,lib-00052.mgf,Bronze,3,0.823031,35817.9,13.0485,1,NIST17,NIST,364.301,N/A,0,8,CCCCCC=CCC=CCC=CCC=CCCC(C)C(=O)NCCF,1,351.253,specs_ms.mgf,CCMSLIB00003525558,818045,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
8868,M+H-H2O,83952403,1,"(.+/-.)-5-Hydroxy-6E,8Z,11Z,14Z,17Z-eicosapentaenoic acid",Isolated,NIST,0,spectra/specs_ms.mgf8868,N/A,N/A,HCD,Positive,ESI,301.216,lib-00048.mgf,Bronze,3,0.941002,0.911831,0.000274658,1,NIST14,NIST,301.216,N/A,0,13,N/A,1,301.216,specs_ms.mgf,CCMSLIB00000239035,260528,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
1203,M+H-H2O,62653854,1,(.+/-.)7-epi-Jasmonic acid,Isolated,NIST,0,spectra/specs_ms.mgf1203,"InChI=1S/C12H18O3/c1-2-3-4-5-10-9(8-12(14)15)6-7-11(10)13/h3-4,9-10H,2,5-8H2,1H3,(H,14,15)/b4-3-/t9-,10+/m1/s1",N/A,HCD,Positive,ESI,193.122,lib-00052.mgf,Bronze,3,0.853092,72573.7,14.0156,1,NIST17,NIST,193.122,N/A,0,4,CCC=CCC1C(CCC1=O)CC(=O)O,1,179.107,specs_ms.mgf,CCMSLIB00003410258,472741,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
1213,M+H-H2O,62653854,1,(.+/-.)7-epi-Jasmonic acid,Isolated,NIST,0,spectra/specs_ms.mgf1213,"InChI=1S/C12H18O3/c1-2-3-4-5-10-9(8-12(14)15)6-7-11(10)13/h3-4,9-10H,2,5-8H2,1H3,(H,14,15)/b4-3-/t9-,10+/m1/s1",N/A,IT-FT/ion trap with FTMS,Positive,ESI,193.122,lib-00052.mgf,Bronze,3,0.908201,46733.6,9.0253,1,NIST17,NIST,193.122,N/A,0,4,CCC=CCC1C(CCC1=O)CC(=O)O,1,184.097,specs_ms.mgf,CCMSLIB00003410271,1020000,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
3878,M+H-H2O,62653854,1,(.+/-.)7-epi-Jasmonic acid,Isolated,NIST,0,spectra/specs_ms.mgf3878,"InChI=1S/C12H18O3/c1-2-3-4-5-10-9(8-12(14)15)6-7-11(10)13/h3-4,9-10H,2,5-8H2,1H3,(H,14,15)/b4-3-/t9-,10+/m1/s1",N/A,HCD,Positive,ESI,193.122,lib-00052.mgf,Bronze,3,0.804295,481856,93.0572,1,NIST17,NIST,193.122,N/A,0,5,CCC=CCC1C(CCC1=O)CC(=O)O,1,286.18,specs_ms.mgf,CCMSLIB00003410259,487930,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
5270,M+H-H2O,62653854,1,(.+/-.)7-epi-Jasmonic acid,Isolated,NIST,0,spectra/specs_ms.mgf5270,"InChI=1S/C12H18O3/c1-2-3-4-5-10-9(8-12(14)15)6-7-11(10)13/h3-4,9-10H,2,5-8H2,1H3,(H,14,15)/b4-3-/t9-,10+/m1/s1",N/A,HCD,Positive,ESI,193.122,lib-00052.mgf,Bronze,3,0.839615,93260.6,18.0107,1,NIST17,NIST,193.122,N/A,0,6,CCC=CCC1C(CCC1=O)CC(=O)O,1,211.133,specs_ms.mgf,CCMSLIB00003410263,818980,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
2908,M+H-H2O,99217773,1,"(.+/-.)-8-Hydroxy-5Z,9E,11Z,14Z,17Z-eicosapentaenoic acid",Isolated,NIST,0,spectra/specs_ms.mgf2908,N/A,N/A,HCD,Positive,ESI,301.216,lib-00048.mgf,Bronze,3,0.860237,46528.4,14.0151,1,NIST14,NIST,301.216,N/A,0,12,N/A,1,315.231,specs_ms.mgf,CCMSLIB00000239086,553586,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
6992,M+H-H2O,99217773,1,"(.+/-.)-8-Hydroxy-5Z,9E,11Z,14Z,17Z-eicosapentaenoic acid",Isolated,NIST,0,spectra/specs_ms.mgf6992,N/A,N/A,IT-FT/ion trap with FTMS,Positive,ESI,301.216,lib-00048.mgf,Bronze,3,0.864186,6693.45,2.01617,1,NIST14,NIST,301.216,N/A,0,11,N/A,1,299.2,specs_ms.mgf,CCMSLIB00000239095,895781,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
3700,Cat,776256907,1,(.alpha.-Naphthoylethyl)trimethylammonium cation,Isolated,NIST,0,spectra/specs_ms.mgf3700,"InChI=1S/C16H20NO/c1-17(2,3)12-11-16(18)15-10-6-8-13-7-4-5-9-14(13)15/h4-10H,11-12H2,1-3H3/q+1",N/A,IT-FT/ion trap with FTMS,Positive,ESI,242.154,lib-00052.mgf,Bronze,3,0.896188,94999.1,23.0044,1,NIST17,NIST,242.154,N/A,0,4,C[N+](C)(C)CCC(=O)C1=CC=CC2=CC=CC=C21,1,219.15,specs_ms.mgf,CCMSLIB00003532046,290400,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
6425,M+H,1362113323,1,(+)-11-Nor-.DELTA.9-tetrahydrocannabinol-9-carboxylic acid glucuronide,Isolated,NIST,0,spectra/specs_ms.mgf6425,"InChI=1S/C27H36O10/c1-4-5-6-7-13-10-17(28)19-15-12-14(8-9-16(15)27(2,3)37-18(19)11-13)25(34)36-26-22(31)20(29)21(30)23(35-26)24(32)33/h10-12,15-16,20-23,26,28-31H,4-9H2,1-3H3,(H,32,33)/t15-,16-,20-,21-,22+,23-,26-/m0/s1",N/A,IT-FT/ion trap with FTMS,Positive,ESI,521.238,lib-00052.mgf,Bronze,3,0.834147,95888.1,49.9805,1,NIST17,NIST,521.238,N/A,0,4,CCCCCC1=CC2=C(C3C=C(CCC3C(O2)(C)C)C(=O)OC4C(C(C(C(O4)C(=O)O)O)O)O)C(=C1)O,1,571.219,specs_ms.mgf,CCMSLIB00003493339,503552,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,6425
7125,M+H,1362113323,1,(+)-11-Nor-.DELTA.9-tetrahydrocannabinol-9-carboxylic acid glucuronide,Isolated,NIST,0,spectra/specs_ms.mgf7125,"InChI=1S/C27H36O10/c1-4-5-6-7-13-10-17(28)19-15-12-14(8-9-16(15)27(2,3)37-18(19)11-13)25(34)36-26-22(31)20(29)21(30)23(35-26)24(32)33/h10-12,15-16,20-23,26,28-31H,4-9H2,1-3H3,(H,32,33)/t15-,16-,20-,21-,22+,23-,26-/m0/s1",N/A,IT-FT/ion trap with FTMS,Positive,ESI,521.238,lib-00052.mgf,Bronze,3,0.830664,95887.6,49.9803,1,NIST17,NIST,521.238,N/A,0,4,CCCCCC1=CC2=C(C3C=C(CCC3C(O2)(C)C)C(=O)OC4C(C(C(C(O4)C(=O)O)O)O)O)C(=C1)O,1,571.218,specs_ms.mgf,CCMSLIB00003493339,9930000,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
7597,M+H-C6H8O6,1362113323,1,(+)-11-Nor-.DELTA.9-tetrahydrocannabinol-9-carboxylic acid glucuronide,Isolated,NIST,0,spectra/specs_ms.mgf7597,"InChI=1S/C27H36O10/c1-4-5-6-7-13-10-17(28)19-15-12-14(8-9-16(15)27(2,3)37-18(19)11-13)25(34)36-26-22(31)20(29)21(30)23(35-26)24(32)33/h10-12,15-16,20-23,26,28-31H,4-9H2,1-3H3,(H,32,33)/t15-,16-,20-,21-,22+,23-,26-/m0/s1",N/A,HCD,Positive,ESI,345.206,lib-00052.mgf,Bronze,3,0.834663,104287,36.0005,1,NIST17,NIST,345.206,N/A,0,4,CCCCCC1=CC2=C(C3C=C(CCC3C(O2)(C)C)C(=O)OC4C(C(C(C(O4)C(=O)O)O)O)O)C(=C1)O,1,309.206,specs_ms.mgf,CCMSLIB00003493355,975794,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
2588,M+H,14375452,1,(+-)-2-cis-4-trans-Abscisic acid,Isolated,NIST,0,spectra/specs_ms.mgf2588,N/A,N/A,HCD,Positive,ESI,265.143,lib-00048.mgf,Bronze,3,0.810044,249101,66.0476,1,NIST14,NIST,265.143,N/A,0,7,N/A,1,199.096,specs_ms.mgf,CCMSLIB00000278785,288854,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
1481,M+H-H2O,21293298,1,(+)-Abscisic acid,Isolated,NIST,0,spectra/specs_ms.mgf1481,"InChI=1S/C15H20O4/c1-10(7-13(17)18)5-6-15(19)11(2)8-12(16)9-14(15,3)4/h5-8,19H,9H2,1-4H3,(H,17,18)/b6-5+,10-7-",N/A,HCD,Positive,ESI,247.133,lib-00052.mgf,Bronze,3,0.803779,0.802662,0.000198364,1,NIST17,NIST,247.133,N/A,0,7,CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C,1,247.133,specs_ms.mgf,CCMSLIB00003704136,1090000,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
2904,M+H,143492380,1,"(1S,2R-D-erythro-2-N-myristoylamino)-1-phenyl-1-propanol",Isolated,NIST,0,spectra/specs_ms.mgf2904,"InChI=1S/C23H39NO2/c1-3-4-5-6-7-8-9-10-11-12-16-19-22(25)24-20(2)23(26)21-17-14-13-15-18-21/h13-15,17-18,20,23,26H,3-12,16,19H2,1-2H3,(H,24,25)/t20-,23?/m1/s1",N/A,HCD,Positive,ESI,362.305,lib-00052.mgf,Bronze,3,0.841345,132487,48.0006,1,NIST17,NIST,362.305,N/A,0,4,CCCCCCCCCCCCCC(=O)NC(C)C(C1=CC=CC=C1)O,1,314.305,specs_ms.mgf,CCMSLIB00003705311,416602,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
8904,M+H,143492380,1,"(1S,2R-D-erythro-2-N-myristoylamino)-1-phenyl-1-propanol",Isolated,NIST,0,spectra/specs_ms.mgf8904,"InChI=1S/C23H39NO2/c1-3-4-5-6-7-8-9-10-11-12-16-19-22(25)24-20(2)23(26)21-17-14-13-15-18-21/h13-15,17-18,20,23,26H,3-12,16,19H2,1-2H3,(H,24,25)/t20-,23?/m1/s1",N/A,HCD,Positive,ESI,362.305,lib-00052.mgf,Bronze,3,0.841345,132487,48.0006,1,NIST17,NIST,362.305,N/A,0,4,CCCCCCCCCCCCCC(=O)NC(C)C(C1=CC=CC=C1)O,1,314.305,specs_ms.mgf,CCMSLIB00003705311,416602,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
8429,M+H,99159872,1,(2R)-3-Hydroxyisovaleroylcarnitine,Isolated,NIST,0,spectra/specs_ms.mgf8429,N/A,N/A,HCD,Positive,ESI,262.165,lib-00052.mgf,Bronze,3,0.916488,53459.6,14.0152,1,NIST17,NIST,262.165,N/A,0,4,N/A,1,276.18,specs_ms.mgf,CCMSLIB00003578560,1600000,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
6312,M+H,,0,(3-hydroxyhexadecanoyl)lysine,Lysate,aaksenov,0,spectra/specs_ms.mgf6312,,,qTof,Positive,LC-ESI,401.338,lib-00013.mgf,Bronze,3,0.90872,99742,40.0303,1,GNPS-LIBRARY,Dorrestein,401.338,,0,11,,1,441.368,specs_ms.mgf,CCMSLIB00004679234,1340000,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,6312,
5788,M+H,,0,(3-hydroxyhexadecanoyl)lysine,Lysate,aaksenov,0,spectra/specs_ms.mgf5788,,,qTof,Positive,LC-ESI,401.338,lib-00013.mgf,Bronze,3,0.895517,104767,42.0471,1,GNPS-LIBRARY,Dorrestein,401.338,,0,13,,1,359.291,specs_ms.mgf,CCMSLIB00004679234,2080000,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
3613,[M+K]+,N/A,1,"(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",isolated,MoNA:VF-NPL-QEHF002068,0,spectra/specs_ms.mgf3613,"InChI=1S/C42H42O20/c43-13-25-33(49)35(51)37(53)41(61-25)59-23-11-19(47)9-21-29(23)27(15-1-5-17(45)6-2-15)31(39(55)57-21)32-28(16-3-7-18(46)8-4-16)30-22(58-40(32)56)10-20(48)12-24(30)60-42-38(54)36(52)34(50)26(14-44)62-42/h1-12,25-28,31-38,41-54H,13-14H2/t25-,26-,27-,28-,31+,32+,33-,34-,35+,36+,37-,38-,41-,42-/m1/s1",N/A,ESI-QFT,positive,N/A,905.19,lib-00029.mgf,Bronze,3,0.819393,80589.7,72.949,1,MONA,MoNA,905.19,N/A,0,15,N/A,1,832.241,specs_ms.mgf,CCMSLIB00004693131,745927,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
1233,[M-H]-,N/A,1,"(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid",isolated,MoNA:VF-NPL-QEHF005213,0,spectra/specs_ms.mgf1233,"InChI=1S/C9H6O3/c10-7-3-1-6-2-4-9(11)12-8(6)5-7/h1-5,10H",N/A,ESI-QFT,negative,N/A,161.024,lib-00029.mgf,Bronze,3,0.857912,210829,33.9485,1,MONA,MoNA,161.024,N/A,0,4,N/A,1,194.973,specs_ms.mgf,CCMSLIB00004696276,63400000,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
1846,[M+Na]+,N/A,1,"(5E)-2-heptyl-3,4,7-trihydroxy-2,3,4,7,8,9-hexahydrooxecin-10-one",isolated,MoNA:VF-NPL-QEHF002281,0,spectra/specs_ms.mgf1846,"InChI=1S/C16H28O5/c1-2-3-4-5-6-7-14-16(20)13(18)10-8-12(17)9-11-15(19)21-14/h8,10,12-14,16-18,20H,2-7,9,11H2,1H3/b10-8+",N/A,ESI-QFT,positive,N/A,323.183,lib-00029.mgf,Bronze,3,0.81991,109.537,0.0354004,1,MONA,MoNA,323.183,N/A,0,5,N/A,1,323.148,specs_ms.mgf,CCMSLIB00004693344,718874,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
2633,[M+Na]+,N/A,1,"(5E)-2-heptyl-3,4,7-trihydroxy-2,3,4,7,8,9-hexahydrooxecin-10-one",isolated,MoNA:VF-NPL-QEHF002281,0,spectra/specs_ms.mgf2633,"InChI=1S/C16H28O5/c1-2-3-4-5-6-7-14-16(20)13(18)10-8-12(17)9-11-15(19)21-14/h8,10,12-14,16-18,20H,2-7,9,11H2,1H3/b10-8+",N/A,ESI-QFT,positive,N/A,323.183,lib-00029.mgf,Bronze,3,0.81991,110.481,0.0357056,1,MONA,MoNA,323.183,N/A,0,5,N/A,1,323.147,specs_ms.mgf,CCMSLIB00004693344,718874,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
1463,M+H,0,1,(Methylenecyclopropyl)acetyl-L-carnitine,Isolated,NIST,0,spectra/specs_ms.mgf1463,N/A,N/A,IT-FT/ion trap with FTMS,Positive,ESI,256.154,lib-00052.mgf,Bronze,3,0.908748,46848.3,12.0004,1,NIST17,NIST,256.154,N/A,0,5,N/A,1,244.154,specs_ms.mgf,CCMSLIB00003578497,283311,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
