#Scan#,inchi_combined,inchi_key,inchi_key1,ClassyFy Status,Kingdom,Superclass,Class,Subclass,Parent Level 1,Parent Level 2,Parent Level 3,Parent Level 4,Parent Level 5
340,"InChI=1S/C18H37NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H2,19,20)",LYRFLYHAGKPMFH-UHFFFAOYSA-N,LYRFLYHAGKPMFH-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids,Carboximidic acids,NA,NA,NA,NA
354,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3",AOMUHOFOVNGZAN-UHFFFAOYSA-N,AOMUHOFOVNGZAN-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,NA,NA,NA,NA
355,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3",AOMUHOFOVNGZAN-UHFFFAOYSA-N,AOMUHOFOVNGZAN-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,NA,NA,NA,NA
356,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3",AOMUHOFOVNGZAN-UHFFFAOYSA-N,AOMUHOFOVNGZAN-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,NA,NA,NA,NA
357,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3",AOMUHOFOVNGZAN-UHFFFAOYSA-N,AOMUHOFOVNGZAN-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,NA,NA,NA,NA
429,"InChI=1S/C22H42O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H,23,24)/b10-9-",DPUOLQHDNGRHBS-KTKRTIGZSA-N,DPUOLQHDNGRHBS-KTKRTIGZSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Very long-chain fatty acids,NA,NA,NA,NA
433,"InChI=1S/C18H15O4P/c19-23(20-16-10-4-1-5-11-16,21-17-12-6-2-7-13-17)22-18-14-8-3-9-15-18/h1-15H",XZZNDPSIHUTMOC-UHFFFAOYSA-N,XZZNDPSIHUTMOC-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,Aryl phosphates,Aryl phosphotriesters,NA,NA,NA
434,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2",JLFNLZLINWHATN-UHFFFAOYSA-N,JLFNLZLINWHATN-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers,Polyethylene glycols,NA,NA,NA
472,"InChI=1S/C21H36O5/c1-3-4-7-10-16(26-2)13-14-18-17(19(22)15-20(18)23)11-8-5-6-9-12-21(24)25/h5,8,13-14,16-20,22-23H,3-4,6-7,9-12,15H2,1-2H3,(H,24,25)/b8-5-,14-13+/t16-,17+,18+,19-,20+/m0/s1",RGZAEYWCXILWFX-NVRZHKMMSA-N,RGZAEYWCXILWFX-NVRZHKMMSA-N,No Data Available,NA,NA,NA,NA,NA,NA,NA,NA,NA
697,"InChI=1S/C28H30N2O3/c1-5-29(6-2)19-13-15-23-25(17-19)33-26-18-20(30(7-3)8-4)14-16-24(26)27(23)21-11-9-10-12-22(21)28(31)32/h9-18H,5-8H2,1-4H3/p+1",CVAVMIODJQHEEH-UHFFFAOYSA-O,CVAVMIODJQHEEH-UHFFFAOYSA-O,Completed,Organic compounds,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,Dibenzopyrans,Xanthenes,NA,NA,NA
720,"InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h12-13,25,28H,5-11,14-24H2,1-4H3/b13-12-/t25-/m1/s1",YAMUFBLWGFFICM-PTGWMXDISA-N,YAMUFBLWGFFICM-PTGWMXDISA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Lysophosphatidylcholines,1-acyl-sn-glycero-3-phosphocholines,NA,NA,NA
807,"InChI=1S/C25H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-25(28)31-22-24(27)23-33-34(29,30)32-21-20-26(2,3)4/h24,27H,5-23H2,1-4H3/t24-/m1/s1",SRRQPVVYXBTRQK-XMMPIXPASA-N,SRRQPVVYXBTRQK-XMMPIXPASA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Lysophosphatidylcholines,1-acyl-sn-glycero-3-phosphocholines,NA,NA,NA
864,"InChI=1S/C26H54NO7P/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-31-23-26(34-25(2)28)24-33-35(29,30)32-22-20-27(3,4)5/h26H,6-24H2,1-5H3/t26-/m1/s1",HVAUUPRFYPCOCA-AREMUKBSSA-N,HVAUUPRFYPCOCA-AREMUKBSSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,"1-alkyl,2-acylglycero-3-phosphocholines","1-alkyl,2-acetylglycero-3-phosphocholines",NA,NA,NA
1017,"InChI=1S/C42H58O6/c1-29(18-14-19-31(3)22-23-37-38(6,7)26-35(47-33(5)43)27-40(37,10)46)16-12-13-17-30(2)20-15-21-32(4)36(45)28-42-39(8,9)24-34(44)25-41(42,11)48-42/h12-22,34-35,44,46H,24-28H2,1-11H3/b13-12+,18-14+,20-15+,29-16+,30-17+,31-19+,32-21+",SJWWTRQNNRNTPU-BWRPRJLXSA-N,SJWWTRQNNRNTPU-BWRPRJLXSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Carotenoids,Xanthophylls,NA,NA,NA
1180,"InChI=1S/C17H17NO3/c19-16(12-14-9-5-2-6-10-14)18-15(17(20)21)11-13-7-3-1-4-8-13/h1-10,15H,11-12H2,(H,18,19)(H,20,21)/t15-/m0/s1",LIIPHJDKZNTNII-HNNXBMFYSA-N,LIIPHJDKZNTNII-HNNXBMFYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Phenylalanine and derivatives,NA,NA
1193,"InChI=1S/C15H24O4/c1-2-3-4-5-10(16)6-7-11-12-8-15(18)19-14(12)9-13(11)17/h6-7,10-14,16-17H,2-5,8-9H2,1H3/b7-6+/t10-,11+,12+,13+,14-/m0/s1",UMDQPEMZJHAFNL-FNLFQXNBSA-N,UMDQPEMZJHAFNL-FNLFQXNBSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Fatty alcohols,NA,NA,NA,NA
1194,"InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h3,13-17,20-21H,4-11H2,1-2H3/t13-,14-,15-,16-,17-,18-,19-/m0/s1",QADHLRWLCPCEKT-LOVVWNRFSA-N,QADHLRWLCPCEKT-LOVVWNRFSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Androgens and derivatives,NA,NA,NA,NA
1195,"InChI=1S/C10H7NO2/c12-10(13)8-5-6-11-9-4-2-1-3-7(8)9/h1-6H,(H,12,13)",VQMSRUREDGBWKT-UHFFFAOYSA-N,VQMSRUREDGBWKT-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids,Quinoline carboxylic acids,NA,NA,NA,NA
1219,"InChI=1S/C14H18O4/c1-9-7-11(15)8-10-3-5-14(2,18-13(9)10)6-4-12(16)17/h7-8,15H,3-6H2,1-2H3,(H,16,17)/t14-/m0/s1",BNVXCCQXUZCRSR-AWEZNQCLSA-N,BNVXCCQXUZCRSR-AWEZNQCLSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,1-benzopyrans,NA,NA,NA,NA
1221,"InChI=1S/C15H22O2/c1-14(2)7-4-8-15(3)12(10-17)11(9-16)5-6-13(14)15/h5,9-10,12-13H,4,6-8H2,1-3H3/t12-,13-,15+/m0/s1",AZJUJOFIHHNCSV-KCQAQPDRSA-N,AZJUJOFIHHNCSV-KCQAQPDRSA-N,Completed,Organic compounds,Organic oxygen compounds,Organic oxides,NA,Organic oxides,NA,NA,NA,NA
1237,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2",UWHCKJMYHZGTIT-UHFFFAOYSA-N,UWHCKJMYHZGTIT-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers,Polyethylene glycols,NA,NA,NA
1310,"InChI=1S/C10H15NO2S/c1-2-3-9-11-14(12,13)10-7-5-4-6-8-10/h4-8,11H,2-3,9H2,1H3",IPRJXAGUEGOFGG-UHFFFAOYSA-N,IPRJXAGUEGOFGG-UHFFFAOYSA-N,Completed,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,Benzenesulfonamides,NA,NA,NA,NA
1322,"InChI=1S/C16H24O4/c1-11-5-3-2-4-6-12-9-13(17)10-14(12)15(18)7-8-16(19)20-11/h4,6-8,11-15,17-18H,2-3,5,9-10H2,1H3/b6-4+,8-7+/t11-,12+,13-,14+,15+/m0/s1",KQNZDYYTLMIZCT-KQPMLPITSA-N,KQNZDYYTLMIZCT-KQPMLPITSA-N,Completed,Organic compounds,Phenylpropanoids and polyketides,Macrolides and analogues,NA,Macrolides and analogues,NA,NA,NA,NA
1328,"InChI=1S/C18H26O2/c1-8-10-13(5)15(9-2)20-17(19)16-14(11-12(3)4)18(16,6)7/h2,10-11,14-16H,8H2,1,3-7H3/b13-10+",YUGWDVYLFSETPE-JLHYYAGUSA-N,YUGWDVYLFSETPE-JLHYYAGUSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Monocyclic monoterpenoids,NA,NA,NA,NA
1329,"InChI=1S/C18H26O2/c1-8-10-13(5)15(9-2)20-17(19)16-14(11-12(3)4)18(16,6)7/h2,10-11,14-16H,8H2,1,3-7H3/b13-10+",YUGWDVYLFSETPE-JLHYYAGUSA-N,YUGWDVYLFSETPE-JLHYYAGUSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Monocyclic monoterpenoids,NA,NA,NA,NA
1344,"InChI=1S/C15H24O/c1-10-5-6-13-15(4,16-13)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3",NVEQFIOZRFFVFW-UHFFFAOYSA-N,NVEQFIOZRFFVFW-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Sesquiterpenoids,NA,NA,NA,NA
1455,"InChI=1S/C12H10N4O2/c1-5-3-7-8(4-6(5)2)14-10-9(13-7)11(17)16-12(18)15-10/h3-4H,1-2H3,(H2,14,15,16,17,18)",ZJTJUVIJVLLGSP-UHFFFAOYSA-N,ZJTJUVIJVLLGSP-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Alloxazines and isoalloxazines,Flavins,NA,NA,NA,NA
1472,"InChI=1S/C12H25N3O2/c1-7(2)5-9(13)12(17)15-10(11(14)16)6-8(3)4/h7-10H,5-6,13H2,1-4H3,(H2,14,16)(H,15,17)",QMKVLWULKCELCD-UHFFFAOYSA-N,QMKVLWULKCELCD-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
1473,"InChI=1S/C12H24N2O3/c1-7(2)5-9(13)11(15)14-10(12(16)17)6-8(3)4/h7-10H,5-6,13H2,1-4H3,(H,14,15)(H,16,17)/t9-,10-/m0/s1",LCPYQJIKPJDLLB-UWVGGRQHSA-N,LCPYQJIKPJDLLB-UWVGGRQHSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,NA,NA,NA,NA
1481,"InChI=1S/C15H20O4/c1-10(7-13(17)18)5-6-15(19)11(2)8-12(16)9-14(15,3)4/h5-8,19H,9H2,1-4H3,(H,17,18)/b6-5+,10-7-",JLIDBLDQVAYHNE-LXGGSRJLSA-N,JLIDBLDQVAYHNE-LXGGSRJLSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Abscisic acids and derivatives,NA,NA,NA,NA
1587,"InChI=1S/C14H20N2O3/c1-9(2)12(14(18)19)16-13(17)11(15)8-10-6-4-3-5-7-10/h3-7,9,11-12H,8,15H2,1-2H3,(H,16,17)(H,18,19)/t11-,12-/m0/s1",IEHDJWSAXBGJIP-RYUDHWBXSA-N,IEHDJWSAXBGJIP-RYUDHWBXSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
1652,"InChI=1S/C15H22N2O3/c1-10(2)8-13(15(19)20)17-14(18)12(16)9-11-6-4-3-5-7-11/h3-7,10,12-13H,8-9,16H2,1-2H3,(H,17,18)(H,19,20)/t12-,13-/m0/s1",RFCVXVPWSPOMFJ-STQMWFEESA-N,RFCVXVPWSPOMFJ-STQMWFEESA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
1686,"InChI=1S/C18H37NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H2,19,20)",LYRFLYHAGKPMFH-UHFFFAOYSA-N,LYRFLYHAGKPMFH-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids,Carboximidic acids,NA,NA,NA,NA
1702,"InChI=1S/C14H27N3O4/c1-8(2)5-10(15)13(19)16-7-12(18)17-11(14(20)21)6-9(3)4/h8-11H,5-7,15H2,1-4H3,(H,16,19)(H,17,18)(H,20,21)",HYIFFZAQXPUEAU-UHFFFAOYSA-N,HYIFFZAQXPUEAU-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Oligopeptides,NA,NA,NA
1704,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3",AOMUHOFOVNGZAN-UHFFFAOYSA-N,AOMUHOFOVNGZAN-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,NA,NA,NA,NA
1749,"InChI=1S/C18H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)17(19)16-20/h17,20H,2-16,19H2,1H3",KBUNOSOGGAARKZ-UHFFFAOYSA-N,KBUNOSOGGAARKZ-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Ketones,Beta-hydroxy ketones,NA,NA,NA
1775,"InChI=1S/C19H28O3/c1-18-7-5-12(20)9-11(18)3-4-13-14(18)6-8-19(2)15(13)10-16(21)17(19)22/h3,12-16,20-21H,4-10H2,1-2H3/t12-,13+,14-,15-,16+,18-,19-/m0/s1",QQIVKFZWLZJXJT-DNKQKWOHSA-N,QQIVKFZWLZJXJT-DNKQKWOHSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Androgens and derivatives,NA,NA,NA,NA
1795,"InChI=1S/C15H21NO6/c1-8(4-3-5-9(2)14(19)20)11-7-16-13(15(21)22)10(11)6-12(17)18/h3-5,9-11,13,16H,6-7H2,1-2H3,(H,17,18)(H,19,20)(H,21,22)/b5-3+,8-4-/t9-,10+,11-,13+/m1/s1",VZFRNCSOCOPNDB-AOKDLOFSSA-N,VZFRNCSOCOPNDB-AOKDLOFSSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Kainoids,NA,NA,NA
1855,"InChI=1S/C15H21NO6/c1-8(4-3-5-9(2)14(19)20)11-7-16-13(15(21)22)10(11)6-12(17)18/h3-5,9-11,13,16H,6-7H2,1-2H3,(H,17,18)(H,19,20)(H,21,22)/b5-3+,8-4-/t9-,10+,11-,13+/m1/s2",VZFRNCSOCOPNDB-CVFCIDBGSA-N,VZFRNCSOCOPNDB-CVFCIDBGSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Kainoids,NA,NA,NA
1860,"InChI=1S/C9H18Cl3O4P/c1-7(4-10)14-17(13,15-8(2)5-11)16-9(3)6-12/h7-9H,4-6H2,1-3H3",KVMPUXDNESXNOH-UHFFFAOYSA-N,KVMPUXDNESXNOH-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,Alkyl phosphates,Trialkyl phosphates,NA,NA,NA
1871,"InChI=1S/C9H18Cl3O4P/c1-7(10)4-14-17(13,15-5-8(2)11)16-6-9(3)12/h7-9H,4-6H2,1-3H3",GTRSAMFYSUBAGN-UHFFFAOYSA-N,GTRSAMFYSUBAGN-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,Alkyl phosphates,Trialkyl phosphates,NA,NA,NA
2207,"InChI=1S/C22H24O9/c1-8-5-10-14(22-20(29)19(28)17(26)13(7-23)31-22)9-3-4-11(24)21(30-2)16(9)18(27)15(10)12(25)6-8/h3-6,13-14,17,19-20,22-26,28-29H,7H2,1-2H3/t13-,14-,17-,19+,20-,22+/m1/s1",RVKRJABUQLMQNO-IPZRHRPYSA-N,RVKRJABUQLMQNO-IPZRHRPYSA-N,Completed,Organic compounds,Benzenoids,Anthracenes,NA,Anthracenes,NA,NA,NA,NA
2349,"InChI=1S/C62H90N13O14P.CN.Co/c1-29-20-39-40(21-30(29)2)75(28-70-39)57-52(84)53(41(27-76)87-57)89-90(85,86)88-31(3)26-69-49(83)18-19-59(8)37(22-46(66)80)56-62(11)61(10,25-48(68)82)36(14-17-45(65)79)51(74-62)33(5)55-60(9,24-47(67)81)34(12-15-43(63)77)38(71-55)23-42-58(6,7)35(13-16-44(64)78)50(72-42)32(4)54(59)73-56;1-2;/h20-21,23,28,31,34-37,41,52-53,56-57,76,84H,12-19,22,24-27H2,1-11H3,(H15,63,64,65,66,67,68,69,71,72,73,74,77,78,79,80,81,82,83,85,86);;/q;;+2/p-2/t31?,34-,35-,36-,37+,41-,52-,53-,56-,57+,59-,60+,61+,62+;;/m1../s1",RMRCNWBMXRMIRW-WYVZQNDMSA-L,RMRCNWBMXRMIRW-WYVZQNDMSA-L,Completed,Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,Corrinoids,Cobalamin derivatives,NA,NA,NA,NA
2352,"InChI=1S/C25H43NO18/c1-7-13(26-9-2-8(3-27)14(33)18(37)15(9)34)17(36)20(39)24(41-7)44-23-12(6-30)42-25(21(40)19(23)38)43-22(11(32)5-29)16(35)10(31)4-28/h2,4,7,9-27,29-40H,3,5-6H2,1H3",CEMXHAPUFJOOSV-UHFFFAOYSA-N,CEMXHAPUFJOOSV-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aminosaccharides,Aminoglycosides,Aminocyclitol glycosides,NA,NA
2387,"InChI=1S/C17H17NO3/c19-16(12-14-9-5-2-6-10-14)18-15(17(20)21)11-13-7-3-1-4-8-13/h1-10,15H,11-12H2,(H,18,19)(H,20,21)/t15-/m0/s1",LIIPHJDKZNTNII-HNNXBMFYSA-N,LIIPHJDKZNTNII-HNNXBMFYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Phenylalanine and derivatives,NA,NA
2392,"InChI=1S/C11H16O3/c1-10(2)5-7(12)6-11(3)8(10)4-9(13)14-11/h4,7,12H,5-6H2,1-3H3/t7-,11+/m0/s1",XEVQXKKKAVVSMW-WRWORJQWSA-N,XEVQXKKKAVVSMW-WRWORJQWSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Benzofurans,NA,Benzofurans,NA,NA,NA,NA
2393,"InChI=1S/C11H16O3/c1-10(2)5-7(12)6-11(3)8(10)4-9(13)14-11/h4,7,12H,5-6H2,1-3H3/t7-,11+/m0/s1",XEVQXKKKAVVSMW-WRWORJQWSA-N,XEVQXKKKAVVSMW-WRWORJQWSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Benzofurans,NA,Benzofurans,NA,NA,NA,NA
2420,"InChI=1S/C16H24O4/c1-11-5-3-2-4-6-12-9-13(17)10-14(12)15(18)7-8-16(19)20-11/h4,6-8,11-15,17-18H,2-3,5,9-10H2,1H3/b6-4+,8-7+/t11-,12+,13-,14+,15+/m0/s1",KQNZDYYTLMIZCT-KQPMLPITSA-N,KQNZDYYTLMIZCT-KQPMLPITSA-N,Completed,Organic compounds,Phenylpropanoids and polyketides,Macrolides and analogues,NA,Macrolides and analogues,NA,NA,NA,NA
2447,"InChI=1S/C15H22N2O3/c1-10(2)8-12(16)14(18)17-13(15(19)20)9-11-6-4-3-5-7-11/h3-7,10,12-13H,8-9,16H2,1-2H3,(H,17,18)(H,19,20)/t12-,13-/m0/s1",KFKWRHQBZQICHA-STQMWFEESA-N,KFKWRHQBZQICHA-STQMWFEESA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
2474,"InChI=1S/C16H30O4/c17-15(18)13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(19)20/h1-14H2,(H,17,18)(H,19,20)",QQHJDPROMQRDLA-UHFFFAOYSA-N,QQHJDPROMQRDLA-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA,NA,NA
2496,"InChI=1S/C22H45NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h2-21H2,1H3,(H2,23,24)",ORAWFNKFUWGRJG-UHFFFAOYSA-N,ORAWFNKFUWGRJG-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,NA,NA,NA,NA
