#Scan#,Adduct_library,CAS_Number_library,Charge_library,Compound_Name_library,Compound_Source_library,Data_Collector_library,ExactMass_library,FileScanUniqueID_library,INCHI_AUX_library,INCHI_library,Instrument_library,Ion_Source_library,IonMode_library,LibMZ_library,Library_Class_library,LibraryName_library,LibraryQualityString_library,MassDiff_library,MQScore_library,MZErrorPPM_library,NumberHits_library,Organism_library,PI_library,Precursor_MZ_library,Pubmed_ID_library,RT_Query_library,SharedPeaks_library,Smiles_library,SpecCharge_library,SpecMZ_library,SpectrumFile_library,SpectrumID_library,tags_library,TIC_Query_library,UpdateWorkflowName_library,Adduct_analog,CAS_Number_analog,Charge_analog,Compound_Name_analog,Compound_Source_analog,Data_Collector_analog,ExactMass_analog,FileScanUniqueID_analog,INCHI_analog,INCHI_AUX_analog,Instrument_analog,internalFilename_analog,Ion_Source_analog,IonMode_analog,LibMZ_analog,Library_Class_analog,LibraryName_analog,LibraryQualityString_analog,MassDiff_analog,MQScore_analog,MZErrorPPM_analog,NumberHits_analog,Organism_analog,PI_analog,Precursor_MZ_analog,Pubmed_ID_analog,RT_Query_analog,SharedPeaks_analog,Smiles_analog,SpecCharge_analog,SpecMZ_analog,SpectrumFile_analog,SpectrumID_analog,tags_analog,TIC_Query_analog,UpdateWorkflowName_analog,inchi_combined
282,M+H,126738,1,Spectral Match to Tributyl phosphate from NIST14,Isolated,Data deposited by daniel,0,spectra/specs_ms.mgf282,N/A,N/A,QqQ,ESI,Positive,267.172,3,lib-00032.mgf,Bronze,0.000183105,0.957578,0.685347,1,GNPS-NIST14-MATCHES,Data from Pieter Dorrestein,267.172,N/A,0,4,N/A,1,267.172,spectra/specs_ms.mgf,CCMSLIB00003136160,NA,1848290,UPDATE-SINGLE-ANNOTATED-BRONZE,M+H,126738,1,Spectral Match to Tributyl phosphate from NIST14,Isolated,Data deposited by daniel,0,spectra/specs_ms.mgf282,N/A,N/A,QqQ,specs_ms.mgf,ESI,Positive,267.172,3,lib-00036.mgf,Bronze,0.000183105,0.957578,0.685347,1,GNPS-NIST14-MATCHES,Data from Pieter Dorrestein,267.172,N/A,0,4,N/A,1,267.172,specs_ms.mgf,CCMSLIB00003136160,NA,1848290,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
288,M+H,56875673,1,cis-7-Hexadecenoic acid methyl ester,Isolated,NIST,0,spectra/specs_ms.mgf288,N/A,N/A,HCD,ESI,Positive,269.247,3,lib-00048.mgf,Bronze,0.000183105,0.980877,0.680064,1,NIST14,NIST,269.247,N/A,0,10,N/A,1,269.247,spectra/specs_ms.mgf,CCMSLIB00000316836,NA,492480,UPDATE-SINGLE-ANNOTATED-BRONZE,M+H,56875673,1,cis-7-Hexadecenoic acid methyl ester,Isolated,NIST,0,spectra/specs_ms.mgf288,N/A,N/A,HCD,specs_ms.mgf,ESI,Positive,269.247,3,lib-00048.mgf,Bronze,0.000183105,0.980877,0.680064,1,NIST14,NIST,269.247,N/A,0,10,N/A,1,269.247,specs_ms.mgf,CCMSLIB00000316836,NA,492480,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
315,M+H,N/A,1,sphingosin C16 (Artifact)-emf,Crude,N/A,0,spectra/specs_ms.mgf315,N/A,N/A,Orbitrap,LC-ESI,Positive,274.274,3,lib-00013.mgf,Bronze,9.15527e-05,0.73027,0.3338,1,GNPS-LIBRARY,emf,274.274,NA,0,4,N/A,1,274.274,spectra/specs_ms.mgf,CCMSLIB00005463721,NA,183339,UPDATE-SINGLE-ANNOTATED-BRONZE,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A
326,M+H,84742,1,Spectral Match to Dibutyl phthalate from NIST14,Isolated,Data deposited by daniel,0,spectra/specs_ms.mgf326,N/A,N/A,QqQ,ESI,Positive,279.159,3,lib-00032.mgf,Bronze,0.000610352,0.998516,2.18639,1,GNPS-NIST14-MATCHES,Data from Pieter Dorrestein,279.159,N/A,0,9,N/A,1,279.158,spectra/specs_ms.mgf,CCMSLIB00003137108,NA,51710500,UPDATE-SINGLE-ANNOTATED-BRONZE,M+H,84742,1,Spectral Match to Dibutyl phthalate from NIST14,Isolated,Data deposited by daniel,0,spectra/specs_ms.mgf326,N/A,N/A,QqQ,specs_ms.mgf,ESI,Positive,279.159,3,lib-00036.mgf,Bronze,0.000610352,0.998516,2.18639,1,GNPS-NIST14-MATCHES,Data from Pieter Dorrestein,279.159,N/A,0,9,N/A,1,279.158,specs_ms.mgf,CCMSLIB00003137108,NA,51710500,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
332,M+H,301020,1,"Spectral Match to 9-Octadecenamide, (Z)- from NIST14",Isolated,Data deposited by negarg,0,spectra/specs_ms.mgf332,N/A,N/A,QqQ,ESI,Positive,282.279,3,lib-00032.mgf,Bronze,0.000183105,0.842271,0.648668,1,GNPS-NIST14-MATCHES,Data from Pieter C Dorrestein,282.279,N/A,0,8,N/A,1,282.279,spectra/specs_ms.mgf,CCMSLIB00003139413,NA,85660.9,UPDATE-SINGLE-ANNOTATED-BRONZE,M+H-H2O,141231,1,Methyl 12-hydroxystearate,Isolated,NIST,0,spectra/specs_ms.mgf332,"InChI=1S/C19H38O3/c1-3-4-5-12-15-18(20)16-13-10-8-6-7-9-11-14-17-19(21)22-2/h18,20H,3-17H2,1-2H3",N/A,HCD,specs_ms.mgf,ESI,Positive,297.279,3,lib-00052.mgf,Bronze,15,0.881582,50457.7,1,NIST17,NIST,297.279,N/A,0,10,CCCCCCC(CCCCCCCCCCC(=O)OC)O,1,282.279,specs_ms.mgf,CCMSLIB00003476704,NA,85660.9,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C19H38O3/c1-3-4-5-12-15-18(20)16-13-10-8-6-7-9-11-14-17-19(21)22-2/h18,20H,3-17H2,1-2H3"
335,M+H,2615158,1,Hexaethylene glycol,Isolated,NIST,0,spectra/specs_ms.mgf335,N/A,N/A,HCD,ESI,Positive,283.175,3,lib-00036.mgf,Bronze,0.00219727,0.979088,7.75939,1,NIST14,NIST,283.175,N/A,0,5,N/A,1,283.173,spectra/specs_ms.mgf,CCMSLIB00000290210,NA,21947400,UPDATE-SINGLE-ANNOTATED-BRONZE,M+H,4792158,1,Pentaethylene glycol,Isolated,NIST,0,spectra/specs_ms.mgf335,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2",N/A,HCD,specs_ms.mgf,ESI,Positive,239.149,3,lib-00052.mgf,Bronze,44.0239,0.98724,184086,1,NIST17,NIST,239.149,N/A,0,7,C(COCCOCCOCCOCCO)O,1,283.173,specs_ms.mgf,CCMSLIB00003440922,NA,21947400,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2"
337,M+H,693721,1,trans-Vaccenic acid,Isolated,NIST,0,spectra/specs_ms.mgf337,N/A,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h7-8H,2-6,9-17H2,1H3,(H,19,20)/b8-7+",HCD,ESI,Positive,283.263,3,lib-00052.mgf,Bronze,0.000427246,0.768963,1.5083,1,NIST17,NIST,283.263,N/A,0,11,CCCCCCC=CCCCCCCCCCC(=O)O,1,283.263,spectra/specs_ms.mgf,CCMSLIB00003722055,NA,1278230,UPDATE-SINGLE-ANNOTATED-BRONZE,M+H,111626,1,Oleic acid ethyl ester,Isolated,NIST,0,spectra/specs_ms.mgf337,N/A,N/A,HCD,specs_ms.mgf,ESI,Positive,311.294,3,lib-00048.mgf,Bronze,28.0317,0.907223,90048.8,1,NIST14,NIST,311.294,N/A,0,12,N/A,1,283.263,specs_ms.mgf,CCMSLIB00000324086,NA,1278230,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h7-8H,2-6,9-17H2,1H3,(H,19,20)/b8-7+"
340,M+H,124265,1,Stearamide,Isolated,NIST,0,spectra/specs_ms.mgf340,N/A,"InChI=1S/C18H37NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H2,19,20)",IT-FT/ion trap with FTMS,ESI,Positive,284.295,3,lib-00052.mgf,Bronze,0.000305176,0.861093,1.07345,1,NIST17,NIST,284.295,N/A,0,11,CCCCCCCCCCCCCCCCCC(=O)N,1,284.294,spectra/specs_ms.mgf,CCMSLIB00003379652,NA,680047,UPDATE-SINGLE-ANNOTATED-BRONZE,256.3,629549,1,Spectral Match to Palmitamide from NIST14,Isolated,Data deposited by mjmeehan,0,spectra/specs_ms.mgf340,N/A,N/A,IT/ion trap,specs_ms.mgf,ESI,Positive,256.3,3,lib-00032.mgf,Bronze,27.9945,0.938867,109226,1,GNPS-NIST14-MATCHES,Data from Jessica Metcalf,256.3,N/A,0,10,N/A,1,284.294,specs_ms.mgf,CCMSLIB00003137708,NA,680047,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C18H37NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H2,19,20)"
354,M+H,120401,1,Lauric acid diethanolamide,Isolated,NIST,0,spectra/specs_ms.mgf354,N/A,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3",HCD,ESI,Positive,288.253,3,lib-00052.mgf,Bronze,0.000305176,0.883292,1.05871,1,NIST17,NIST,288.253,N/A,0,7,CCCCCCCCCCCC(=O)N(CCO)CCO,1,288.253,spectra/specs_ms.mgf,CCMSLIB00003708493,NA,7949260,UPDATE-SINGLE-ANNOTATED-BRONZE,M+H,120401,1,Lauric acid diethanolamide,Isolated,NIST,0,spectra/specs_ms.mgf354,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3",N/A,HCD,specs_ms.mgf,ESI,Positive,288.253,3,lib-00052.mgf,Bronze,0.000305176,0.883292,1.05871,1,NIST17,NIST,288.253,N/A,0,7,CCCCCCCCCCCC(=O)N(CCO)CCO,1,288.253,specs_ms.mgf,CCMSLIB00003708493,NA,7949260,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3"
355,M+H,120401,1,Lauric acid diethanolamide,Isolated,NIST,0,spectra/specs_ms.mgf355,N/A,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3",HCD,ESI,Positive,288.253,3,lib-00052.mgf,Bronze,0.000305176,0.985564,1.05871,1,NIST17,NIST,288.253,N/A,0,7,CCCCCCCCCCCC(=O)N(CCO)CCO,1,288.253,spectra/specs_ms.mgf,CCMSLIB00003708491,NA,1864790,UPDATE-SINGLE-ANNOTATED-BRONZE,M+H,120401,1,Lauric acid diethanolamide,Isolated,NIST,0,spectra/specs_ms.mgf355,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3",N/A,HCD,specs_ms.mgf,ESI,Positive,288.253,3,lib-00052.mgf,Bronze,0.000305176,0.985564,1.05871,1,NIST17,NIST,288.253,N/A,0,7,CCCCCCCCCCCC(=O)N(CCO)CCO,1,288.253,specs_ms.mgf,CCMSLIB00003708491,NA,1864790,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3"
356,M+H,NA,1,C17-Sphinganine,Lysate,Quinn,287.481,spectra/specs_ms.mgf356,NA,N/A,qTof,LC-ESI,Positive,288.291,3,lib-00036.mgf,Bronze,0.00158691,0.748222,5.50456,1,GNPS-LIBRARY,Dorrestein,288.291,3247037,0,5,CCCCCCCCCCCCCCC(C(CO)N)O,1,288.289,spectra/specs_ms.mgf,CCMSLIB00000579284,NA,3621220,UPDATE-SINGLE-ANNOTATED-BRONZE,M+H,120401,1,Lauric acid diethanolamide,Isolated,NIST,0,spectra/specs_ms.mgf356,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3",N/A,HCD,specs_ms.mgf,ESI,Positive,288.253,3,lib-00052.mgf,Bronze,0.0361023,0.93257,125.245,1,NIST17,NIST,288.253,N/A,0,4,CCCCCCCCCCCC(=O)N(CCO)CCO,1,288.289,specs_ms.mgf,CCMSLIB00003708490,NA,3621220,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3"
357,M+H,NA,1,C17-Sphinganine,Lysate,Quinn,287.481,spectra/specs_ms.mgf357,NA,N/A,qTof,LC-ESI,Positive,288.291,3,lib-00036.mgf,Bronze,0.00158691,0.727542,5.50456,1,GNPS-LIBRARY,Dorrestein,288.291,3247037,0,5,CCCCCCCCCCCCCCC(C(CO)N)O,1,288.289,spectra/specs_ms.mgf,CCMSLIB00000579284,NA,5436320,UPDATE-SINGLE-ANNOTATED-BRONZE,M+H,120401,1,Lauric acid diethanolamide,Isolated,NIST,0,spectra/specs_ms.mgf357,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3",N/A,HCD,specs_ms.mgf,ESI,Positive,288.253,3,lib-00052.mgf,Bronze,0.0361023,0.953766,125.245,1,NIST17,NIST,288.253,N/A,0,4,CCCCCCCCCCCC(=O)N(CCO)CCO,1,288.289,specs_ms.mgf,CCMSLIB00003708491,NA,5436320,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3"
