category,term,df,sumsq,meansq,statistic,p.value,FDR
Azoles,Organism,4,0.2188480798938901,0.054712019973472525,72.00094906681646,2.1392580145084312e-16,1.2439195950211921e-15
Azolidines,Organism,4,0.00435734275355567,0.0010893356883889176,4.386164740056346,0.00558731321408721,0.005782219488997229
Benzenoids,Organism,4,0.5346140935919625,0.13365352339799064,63.704390525969025,1.407658922715468e-15,6.5937707432461395e-15
Beta amino acids and derivatives,Organism,4,0.0031978964149212267,7.994741037303067e-4,5.288697019788261,0.0019378279356146737,0.002029019838467129
Carbamic acids and derivatives,Organism,4,0.007362161133666499,0.0018405402834166247,15.341881542212729,2.4365176053466214e-007,3.2365681623261094e-7
Carboxamidines,Organism,4,0.013683436877447391,0.0034208592193618477,13.58200592876192,8.810078264648447e-7,1.1043619233150872e-6
Carboximidamides,Organism,4,0.08953772795934245,0.022384431989835613,54.05377134790837,1.6833961674079576e-14,5.762394573050316e-14
Carboximidic acids,Organism,4,0.03474729184208356,0.00868682296052089,60.43320689897556,3.140228601052749e-15,1.2703652067895213e-14
Carboximidic acids and derivatives,Organism,4,0.04189636719737859,0.010474091799344647,80.0877871097802,4.0679740039190357e-017,3.017080719573285e-16
Carboxylic acid amides,Organism,4,0.02984655127820189,0.007461637819550473,8.596744165462091,6.0865877888755425e-5,6.606174551340528e-5
Carboxylic acid hydrazides,Organism,4,0.009323869772599174,0.0023309674431497935,31.52598570947278,3.665170709904895e-11,6.940429642160333e-11
Delta lactams,Organism,4,0.0037270272270242583,9.317568067560646e-4,10.47477468462148,1.0969937459397141e-5,1.2679538102420073e-5
Dialkylamines,Organism,4,0.03147434847643039,0.007868587119107597,15.13404835546754,2.822511741491086e-7,3.69416977930451e-7
Dialkylarylamines,Organism,4,0.10582751435168791,0.026456878587921978,89.32922580506366,7.268161839326525e-18,9.697143305068665e-17
Diazinanes,Organism,4,0.041581631357625166,0.010395407839406292,20.28141341547324,1.0147550440937015e-8,1.5307321851582953e-8
Diazines,Organism,4,0.2964839927437118,0.07412099818592795,77.16393746008099,7.28121523215531e-17,4.62877254044159e-16
Dicarboximides,Organism,4,0.0027521518376858564,6.880379594214641e-4,9.285741581253047,3.185856399851748e-5,3.589129361858298e-5
Dipeptides,Organism,4,0.009086470913910799,0.0022716177284776997,7.258709492404793,2.2908395847722284e-4,2.4564424463220284e-4
Fatty amides,Organism,4,0.16179181186967195,0.04044795296741799,91.51280737143465,4.953885100399687e-18,8.817915478711444e-17
Guanidines,Organism,4,0.06304587048001742,0.015761467620004355,27.254858247479522,2.5266675790352543e-10,4.483294350467431e-10
Heteroaromatic compounds,Organism,4,0.43121068309931365,0.10780267077482841,84.22850161264753,1.8413085962010804e-17,1.6852671718858892e-16
Hydropyridines,Organism,4,0.026962532015144654,0.0067406330037861634,27.22003233610955,2.5690787850993144e-10,4.483294350467431e-10
Hydropyrimidines,Organism,4,0.011053820583797226,0.0027634551459493066,9.047013481724186,3.976739035061385e-5,4.4241221765057915e-5
Hydroxamic acids,Organism,4,0.0371353636625525,0.009283840915638124,32.78042970058019,2.1595829602586485e-11,4.469834499139994e-11
Imidazoles,Organism,4,0.1954911839078195,0.048872795976954875,71.7952390231194,2.236259946105514e-16,1.2439195950211921e-15
Imidolactams,Organism,4,0.17674095101846132,0.04418523775461533,61.15056273605694,2.625226841254147e-15,1.1682259443580954e-14
Imines,Organism,4,0.07118704987843034,0.017796762469607586,89.05810495183057,7.62696664443603e-18,9.697143305068665e-17
Indolines,Organism,4,0.04858071652030851,0.012145179130077127,40.485293224354024,1.141664347645542e-12,2.8224479705681456e-12
Isoleucine and derivatives,Organism,4,0.014975105592956225,0.003743776398239056,66.93351124948542,6.59919241994356e-16,3.2629340298609822e-15
Ketimines,Organism,4,0.013171702957480335,0.0032929257393700838,14.157029050614788,5.729739276105525e-7,7.284954222477024e-7
Lactams,Organism,4,0.10625013042520463,0.02656253260630116,51.72318222913097,3.243687071320636e-14,1.0692153679538393e-13
Methyl esters,Organism,4,0.2755111518327762,0.06887778795819405,71.16046905241899,2.566022136246493e-16,1.3433880595643404e-15
Morpholines,Organism,4,0.0024492655156833944,6.123163789208486e-4,29.564987298455478,8.662882129820634e-11,1.606242728237576e-10
N-acyl-alpha amino acids and derivatives,Organism,4,0.024549552520934485,0.006137388130233621,16.791677496118062,9.023109610676905e-8,1.2354719313080685e-7
N-acyl amines,Organism,4,0.13165413557197586,0.032913533892993965,60.8150239963813,2.8540114265247507e-15,1.2095572236223944e-14
N-alkylpiperazines,Organism,4,0.018648799707474364,0.004662199926868591,10.184114992750061,1.415528163454322e-5,1.615153930095316e-5
N-arylamides,Organism,4,0.03615733400366759,0.009039333500916898,19.25412708761297,1.8783138713660974e-8,2.7404907303538144e-8
N-carbamoyl-alpha amino acids and derivatives,Organism,4,0.0018446880621168266,4.6117201552920665e-4,8.87550703030116,4.671256399671375e-5,5.1326150564290415e-5
N-substituted imidazoles,Organism,4,0.2836653479463066,0.07091633698657665,117.61892867681169,8.794014038392337e-20,3.91333624708459e-18
N-unsubstituted carboxylic acid imides,Organism,4,0.01172815475185978,0.002932038687964945,21.09377186144844,6.328540962282453e-9,9.711036993847214e-9
Oligopeptides,Organism,4,0.014501088234259005,0.0036252720585647513,44.62790545646591,2.8203914333229513e-13,7.382789340168902e-13
"Organic 1,3-dipolar compounds",Organism,4,0.1603646948712314,0.04009117371780785,84.07911932963022,1.8935586200965046e-17,1.6852671718858892e-16
Organic acids and derivatives,Organism,4,0.06597178501609684,0.01649294625402421,17.404676920485663,6.025039933012321e-8,8.378571156845259e-8
Organic nitrogen compounds,Organism,4,0.1541943973928164,0.0385485993482041,23.20209118469198,1.965020171714565e-9,3.2386443570851167e-9
Organoheterocyclic compounds,Organism,4,0.7242667169037117,0.18106667922592792,139.33953693737215,5.5355113896857516e-21,4.926605136820319e-19
Organonitrogen compounds,Organism,4,0.17340113029918594,0.043350282574796485,26.772088806112745,3.1869722587850623e-10,5.45462559676674e-10
Organopnictogen compounds,Organism,4,0.08380791270566389,0.02095197817641597,21.095201131628972,6.3233555433524406e-9,9.711036993847214e-9
Oxazinanes,Organism,4,0.002149493283481018,5.373733208702545e-4,18.027017779404574,4.0353697952587544e-8,5.7007605044131614e-8
Peptides,Organism,4,0.028478975375647895,0.007119743843911974,11.411362919697014,4.9393483811572495e-6,6.021945286616372e-6
Peptidomimetics,Organism,4,0.03916532157723262,0.009791330394308155,19.556118137286564,1.563824716416358e-8,2.3196733293509314e-8
Phenol ethers,Organism,4,0.09486695935430249,0.023716739838575623,39.551582640569535,1.589842112433351e-12,3.7235775791202165e-12
Piperazines,Organism,4,0.0665773924131588,0.0166443481032897,25.43379015107243,6.166686295831884e-10,1.0355378874132787e-9
Piperidines,Organism,4,0.009867836947394616,0.002466959236848654,10.56815935547479,1.01148629513011e-5,1.1845036877181551e-5
Primary carboxylic acid amides,Organism,4,0.042927336526770325,0.010731834131692581,47.025211893330656,1.31773152404571e-13,3.553881989092975e-13
"Propargyl-type 1,3-dipolar organic compounds",Organism,4,0.19466801896102348,0.04866700474025587,85.85001580124197,1.3628616138325076e-17,1.5161835453886646e-16
Pyridinecarboxylic acids,Organism,4,0.06262524724315471,0.01565631181078868,36.008648437614745,5.931478465702249e-12,1.2834120318033078e-11
Pyridinecarboxylic acids and derivatives,Organism,4,0.03931374476613184,0.00982843619153296,21.823259220704028,4.185255456693251e-9,6.6515667079589166e-9
Pyridines and derivatives,Organism,4,0.13766270482216972,0.03441567620554243,35.95460927516687,6.05655116131898e-12,1.2834120318033078e-11
Pyrimidines and pyrimidine derivatives,Organism,4,0.20638934495138828,0.05159733623784707,59.780552874693036,3.702002984363251e-15,1.3728261067013724e-14
Pyrimidones,Organism,4,0.04214883922139434,0.010537209805348585,43.856147118480315,3.629331235621957e-13,9.228870856295833e-13
Pyrrole carboxylic acids and derivatives,Organism,4,0.08487406272720971,0.021218515681802427,32.315097818087864,2.622893033287701e-11,5.1874995547245645e-11
Pyrroles,Organism,4,0.09667969238017157,0.024169923095042893,50.48157431439386,4.647934504232003e-14,1.4264350719884423e-13
Pyrrolidine carboxylic acids and derivatives,Organism,4,0.012603918335884163,0.0031509795839710407,3.738326915161267,0.012342411825203781,0.012626145430380879
Pyrrolines,Organism,4,0.05746624908975974,0.014366562272439935,50.885325786649965,4.1314904864543845e-14,1.3132237617658579e-13
Secondary amines,Organism,4,0.0316016906709707,0.007900422667742674,11.195057816197078,5.920483576597505e-6,7.025640510895706e-6
Secondary carboxylic acid amides,Organism,4,0.050398999570521616,0.012599749892630404,18.25692111852327,3.487860228731509e-8,5.00676710253394e-8
Substituted imidazoles,Organism,4,0.19619648259809183,0.04904912064952296,81.91782976644332,2.8530331018467876e-17,2.3083631460396736e-16
Tertiary alkylarylamines,Organism,4,0.18041845427256786,0.045104613568141966,102.54214313638323,8.046745361935626e-19,1.7904008430306767e-17
Tertiary amines,Organism,4,0.07340132549319603,0.018350331373299007,47.08914492347614,1.2918342532256438e-13,3.553881989092975e-13
Tertiary carboxylic acid amides,Organism,4,0.05213659150099777,0.013034147875249442,22.45591597790548,2.946540216685171e-9,4.768037805181458e-9
Valine and derivatives,Organism,4,0.058485400167063016,0.014621350041765754,49.996670767387364,5.359849438255836e-14,1.5900886666825648e-13
Vinylogous amides,Organism,4,0.17688772828286994,0.044221932070717486,59.89037136272936,3.600500671766986e-15,1.3728261067013724e-14
