feature_number,mz,RT,C,H,O,N,S,P,Cl,Br,B,Se,I,H/C,O/C,N/C,AI-mod,DBE,DBE/C,Formula,ZodiacScore,Exp2_MediaBlank_A_DOM_I,Exp2_MediaBlank_A_DOM_II,Exp2_MediaBlank_A_Unfil_I,Exp2_MediaBlank_A_Unfil_II,Exp2_Pn-delicatissima_A_DOM_I,Exp2_Pn-delicatissima_A_DOM_II,Exp2_Pn-delicatissima_A_Unfil_I,Exp2_Pn-delicatissima_A_Unfil_II,Exp2_Pn-delicatissima_B_DOM_I,Exp2_Pn-delicatissima_B_DOM_II,Exp2_Pn-delicatissima_B_Unfil_I,Exp2_Pn-delicatissima_B_Unfil_II,Exp2_Pn-galaxiae_A_DOM_I,Exp2_Pn-galaxiae_A_DOM_II,Exp2_Pn-galaxiae_A_Unfil_I,Exp2_Pn-galaxiae_A_Unfil_II,Exp2_Pn-galaxiae_B_DOM_I,Exp2_Pn-galaxiae_B_DOM_II,Exp2_Pn-galaxiae_B_Unfil_I,Exp2_Pn-galaxiae_B_Unfil_II,Exp2_Pn-hasleana_A_DOM_I,Exp2_Pn-hasleana_A_DOM_II,Exp2_Pn-hasleana_A_Unfil_I,Exp2_Pn-hasleana_A_Unfil_II,Exp2_Pn-hasleana_B_DOM_I,Exp2_Pn-hasleana_B_DOM_II,Exp2_Pn-hasleana_B_Unfil_I,Exp2_Pn-hasleana_B_Unfil_II,Exp2_Pn-multiseries_A_DOM_I,Exp2_Pn-multiseries_A_DOM_II,Exp2_Pn-multiseries_A_Unfil_I,Exp2_Pn-multiseries_A_Unfil_II,Exp2_Pn-multiseries_B_DOM_I,Exp2_Pn-multiseries_B_DOM_II,Exp2_Pn-multiseries_B_Unfil_I,Exp2_Pn-multiseries_B_Unfil_II,Exp2_Pn-subpacifica_A_DOM_I,Exp2_Pn-subpacifica_A_DOM_II,Exp2_Pn-subpacifica_A_Unfil_I,Exp2_Pn-subpacifica_A_Unfil_II,Exp2_Pn-subpacifica_B_DOM_I,Exp2_Pn-subpacifica_B_DOM_II,Exp2_Pn-subpacifica_B_Unfil_I,Exp2_Pn-subpacifica_B_Unfil_II
308,272.294649,9.923160193,17,37,1,1,0,0,0,0,0,0,0,2.176470588,0.058823529,0.058823529,0,0,0,C17H37NO,1,10000000,6744629.5139999995,2104301.391,3441567.264,5258626.451,5850098.2639999995,73200000,96400000,10300000,19200000,64900000,139000000,8138277.874,8433046.125,40300000,7834175.462,8199680.727000001,11600000,51300000,85700000,8015109.473999999,6207898.9,50200000,26800000,11500000,19900000,35900000,31700000,5147040.95,8498269.947999999,18700000,15700000,10600000,13100000,37600000,2352636.641,2695208.828,3594549.4069999997,2116808.727,6305729.8379999995,6150799.276000001,1815757.124,1636135.8969999999,32900000
310,273.1667929,4.566579718,13,22,1,4,0,0,0,0,0,0,0,1.692307692,0.076923077,0.307692308,0.294117647,5,0.384615385,C13H22N4O,1,43600000,36200000,39900000,44200000,169000000,186000000,214000000,229000000,239000000,240000000,149000000,137000000,66600000,63600000,51600000,51900000,222000000,211000000,132000000,125000000,171000000,141000000,145000000,138000000,89000000,120000000,209000000,183000000,145000000,143000000,87500000,90000000,86700000,90600000,87200000,4541979.034,171000000,172000000,164000000,146000000,662000000,687000000,310000000,310000000
320,277.1430028,4.817543339,16,20,4,0,0,0,0,0,0,0,0,1.25,0.25,0,0.357142857,7,0.4375,C16H20O4,1,573979.4335,535279.5704,408441.6011,525532.1111,566593.7504,1141801.503,1537210.553,2537367.84,249142.5656,1201356.24,2680817.5730000003,4662890.239,12000000,7017666.392000001,12600000,8484958.742999999,21300000,19800000,12400000,11300000,17400000,10100000,12200000,10800000,13300000,11900000,19300000,16700000,971910.5129999999,1317215.149,411739.5889,782147.5108,545474.6001,702446.0494,888596.4294,35647.14656,707596.445,886193.0402,1339012.706,869143.6638,853118.6392,1199505.371,1006080.2170000001,850760.3874
321,277.1790987,8.863201756,17,24,3,0,0,0,0,0,0,0,0,1.411764706,0.176470588,0,0.290322581,6,0.352941176,C17H24O3,1,823242.3006,884664.2048,786615.4285,741430.204,4360486.308999999,5383801.326,31300000,102000000,1014704.8859999999,2350667.902,38400000,106000000,3548447.52,4645984.327,19100000,7336064.011,30500000,12000000,18100000,21100000,16600000,17200000,14800000,34700000,7193275.399,6024190.826,26600000,35800000,1293622.622,413119.9041,2643567.75,3423352.74,1310503.51,926421.4305,2834421.317,221186.3435,432316.8723,1108779.703,2058917.747,2787420.077,556819.795,865837.7916,2753950.285,3918375.959
323,277.1793728,10.01070671,17,24,3,0,0,0,0,0,0,0,0,1.411764706,0.176470588,0,0.290322581,6,0.352941176,C17H24O3,1,5511805.182999999,8240648.107999999,7746967.674,6332323.051,8146822.051,12400000,67700000,42200000,6776867.1729999995,6287429.197000001,56900000,41800000,7123484.313999999,7018734.609,25800000,14100000,21300000,16100000,30100000,23200000,28100000,22500000,26900000,43300000,8424654.958999999,37600000,28000000,31000000,6349220.396000001,6085659.146000001,7647694.384,9514248.343,6217847.847,6011783.908,11600000,4539615.767,5928487.021000001,7429244.403,5605517.776000001,7130949.2870000005,5977725.964,6023145.9629999995,5221751.773,6100485.055
336,283.2259108,10.67593984,17,30,3,0,0,0,0,0,0,0,0,1.764705882,0.176470588,0,0.096774194,3,0.176470588,C17H30O3,1,1207065.3909999998,851254.4827,1232028.547,1908256.039,759863.1065,911505.5696,11500000,23300000,1451641.889,2162560.932,11600000,36200000,1277287.334,1005554.1240000001,3683804.1380000003,355807.3016,1275057.89,472873.6724,385719.91299999994,2702254.3460000004,298709.0195,362285.6801,6924854.092999999,18400000,473694.1325,841446.5577,5481948.566000001,27900000,1530313.164,2258158.361,908820.6942,379798.6418,1998369.8159999999,1473971.989,759834.2796,158485.63199999998,1407212.5580000002,6895864.95,2513608.707,4517987.008,5447331.001,3342688.211,7846248.976,6662769.538
354,288.2529645,9.158633357,16,33,3,1,0,0,0,0,0,0,0,2.0625,0.1875,0.0625,0,1,0.0625,C16H33NO3,1,3521536.591,3842220.659,3879843.915,3376462.591,12500000,11200000,12600000,3568698.81,9266887.301,5477694.762999999,5115649.489,2567268.194,12100000,8393232.474,11700000,10900000,13800000,8829535.31,3327782.09,4531354.021000001,16300000,11000000,13600000,8252361.417,2763682.7860000003,3242088.059,21600000,3525048.752,6967746.981000001,6152652.052999999,17800000,21400000,2257187.2909999997,2037375.003,7866534.981000001,325010.8278,31500000,17300000,7714312.874,17000000,2503656.101,1567971.6609999998,2240259.193,4019668.46
355,288.2529521,9.674373168,16,33,3,1,0,0,0,0,0,0,0,2.0625,0.1875,0.0625,0,1,0.0625,C16H33NO3,1,3562731.85,5265183.102,3686083.1560000004,3343193.1580000003,33100000,32100000,39300000,26400000,22000000,22400000,17700000,13400000,16800000,29000000,21400000,24300000,18900000,19100000,7529432.075,9629442.417000001,28600000,26900000,22700000,20300000,7865927.982999999,5751933.69,34700000,25000000,35300000,40700000,87000000,92200000,5894576.31,9480196.743999999,22800000,1628288.9819999998,176000000,142000000,195000000,215000000,13500000,9494685.791000001,17200000,8379201.243
358,289.1542713,10.21831591,16,20,3,2,0,0,0,0,0,0,0,1.25,0.1875,0.125,0.44,8,0.5,C16H20N2O3,1,1076733.8190000001,1569546.188,1903090.989,1923623.1830000002,3510950.6289999997,2131498.44,2801149.722,2098644.6780000003,2898740.3060000003,3411851.1760000004,1637365.007,619102.3464,8917633.361,6687234.762999999,5984511.936000001,5559800.748,5292388.9,4844812.081,5511409.222,5165962.539,3660238.517,3465949.0160000003,432909.7845,1750535.4619999998,7330911.616,6763333.292,885793.7621,2856920.517,5399777.512,5689555.09,3222427.148,3450710.397,5172865.841,6307992.036,2962577.4910000004,742736.4634,5003092.382,5569746.11,2334931.366,2522649.719,5436969.232000001,3946032.175,6659724.176,3081279.525
385,302.3048432,9.999973722,18,39,2,1,0,0,0,0,0,0,0,2.166666667,0.111111111,0.055555556,0,0,0,C18H39NO2,1,1013603.229,886052.1385,1225284.495,1004807.827,864680.3982,775422.4631,160000000,146000000,517086.2521,973366.5935,154000000,148000000,819767.9337,649032.5854,70600000,13100000,959482.0673,482512.8921,69200000,81300000,979221.3199,648890.13,52200000,39300000,859689.9852,602860.5467,39900000,32500000,238379.8006,211532.9599,5395078.337,5545513.094,385868.1467,367517.161,7227471.2979999995,530475.8285,313480.5746,60353.14807,2703042.685,2138152.524,235137.2493,137500.1156,2827825.5810000002,1993208.924
398,309.2260885,5.434190885,15,32,6,0,0,0,0,0,0,0,0,2.133333333,0.4,0,0,0,0,C15H32O6,1,7109557.766,5160900.183999999,6050196.231000001,7353477.7639999995,45200000,47800000,67100000,72600000,74800000,76500000,42700000,47300000,24200000,22400000,16200000,15700000,58100000,50800000,40900000,35800000,38200000,30000000,34800000,34900000,40600000,32800000,55900000,52300000,28300000,27000000,20900000,21400000,16600000,17100000,17100000,592335.7268,55500000,56300000,55400000,52100000,140000000,143000000,106000000,109000000
399,310.1938018,11.05366399,21,25,2,0,0,0,0,0,0,0,0,1.19047619,0.095238095,0,0.425,9.5,0.452380952,C21H25O2,1,4585.955809,2275.33172,1483.051402,0,29406.21909,0,0,0,5604.706956,1945.588823,13808.021709999999,30104.40067,5212.097957999999,3281.702855,0,5862.196092,21063.47552,2792.409302,0,6146.893486999999,85557.467310000007,70128.23419,22061.48101,0,12275.34552,1721.0436949999998,36039.34601,0,3179.553823,13891.533130000002,19135.68488,1285.104076,21478.18719,3798.5835340000003,2213.593416,1521.124594,2630.288692,0,25575.94486,2990.939386,1715.783438,4091.7064490000002,0,0
444,332.3141796,9.944935497,19,41,3,1,0,0,0,0,0,0,0,2.157894737,0.157894737,0.052631579,0,0,0,C19H41NO3,1,4919880.721,2670031.777,583906.21,1240604.548,665810.9292,1120291.0159999998,29500000,64600000,2249141.208,5821595.53,31800000,45300000,1301337.178,1341952.165,22900000,4260098.546,1912629.312,4107074.2589999996,28600000,35500000,2198284.4590000003,1534060.814,21100000,20300000,1796175.021,4483025.271000001,14400000,26700000,910704.8647,2881670.6210000003,6408232.909,4772361.045,1615967.554,2536489.997,13900000,1229408.148,884533.4159,1609399.332,2979746.115,2168211.905,1499060.4419999998,1255061.75,1783760.388,16000000
449,335.2205538,10.40386447,20,30,4,0,0,0,0,0,0,0,0,1.5,0.2,0,0.222222222,6,0.3,C20H30O4,1,1221158.244,1452862.125,2216851.97,748645.1257,2603164.991,4629394.665,42300000,63300000,1885769.7619999999,912649.2553,32000000,65300000,2393070.4480000003,1322395.124,25400000,2638864.456,4985080.936000001,4032317.365,30600000,26200000,6209390.165,4802415.046,32000000,59800000,4566179.011,2229581.265,31600000,70200000,1709035.263,2111452.242,18800000,20200000,3406271.227,939993.9983,23400000,331444.87,1953728.631,3896586.233,3135047.251,3319028.019,1992019.604,1222718.338,2607770.485,3107857.8680000002
569,386.2696953,4.725984556,19,35,5,3,0,0,0,0,0,0,0,1.842105263,0.263157895,0.157894737,0,4,0.210526316,C19H35N3O5,1,2195562.096,1738653.531,1735916.64,2028235.164,3673169.205,2087119.521,3415919.818,5709885.262,6563359.687000001,5689548.318,1853001.395,2667445.244,8925687.725,3708193.293,13400000,7382469.732000001,2274428.706,2009741.8369999998,12300000,14000000,3797840.5039999997,2827720.04,5743013.362000001,4894045.759,8583074.356,7196257.149,9486282.954,7837163.051,3229063.702,1086922.81,605844.8864,1111503.002,1970272.634,319531.6789,1550800.9219999998,16029.51409,5368010.863,8785390.245,9136562.707,8745157.78,13000000,11400000,13700000,13300000
575,389.2515842,6.262668137,19,34,3,4,0,0,0,0,0,0,0,1.789473684,0.157894737,0.210526316,0.111111111,5,0.263157895,C19H34N4O3,0.997197197,8236827.9,6540668.266,7573624.226,9441971.978,62800000,72200000,102000000,111000000,101000000,112000000,62800000,69500000,35500000,33000000,23300000,22200000,89200000,76300000,64500000,55500000,51900000,40800000,46200000,49300000,64200000,56700000,78900000,78700000,43000000,42500000,33900000,38100000,26600000,25100000,25400000,736056.7362,96800000,100000000,96300000,93700000,197000000,191000000,182000000,190000000
590,394.3530835,11.07425017,19,45,4,4,0,0,0,0,0,0,0,2.368421053,0.210526316,0.210526316,0,-0.5,-0.026315789,C19H45N4O4,1,5989943.992000001,4912661.632,5868160.687000001,6634638.609,8385051.655,8548745.013,6448603.675,25400000,8496200.254,8225911.707,9586319.366,11600000,8614638.176,7357475.938999999,9699568.711000001,9425039.082999999,6208823.625,5688896.397000001,7173300.701,8090741.012999999,10500000,7047516.78,9276092.309,11200000,5922701.498,3513547.4510000004,13300000,16100000,25100000,18400000,25900000,28100000,5405816.321,8725106.617999999,9303237.399,315279.7043,33000000,36600000,38500000,38100000,6713287.1110000005,11700000,11500000,11600000
626,412.3058252,10.4605828,23,41,5,1,0,0,0,0,0,0,0,1.782608696,0.217391304,0.043478261,0.051282051,4,0.173913043,C23H41NO5,1,363938.5824,139633.186,338487.3932,173093.7004,2022913.371,263969.2949,17800000,31400000,248191.1407,42571.72152,23000000,43800000,322782.9238,203271.1302,4773068.892,2479143.742,614092.9521,532875.4003,6342533.675,4331093.123,3758494.3639999996,1219717.732,3178454.4239999996,11400000,469774.5468,435205.5735,2561976.107,36300000,385694.0328,240627.5041,2339050.741,500302.8909,207259.6331,263747.5013,5498611.915,175953.4965,341427.5564,136559.315,400061.07200000004,411038.2286,263228.9925,103866.5183,147855.8801,218479.4085
627,413.2313593,10.88008626,25,32,5,0,0,0,0,0,0,0,0,1.28,0.2,0,0.333333333,10,0.4,C25H32O5,1,1380995.424,1638926.675,1451749.45,1508751.701,8931820.054,4105927.703,15800000,19100000,635959.931,431702.8927,10600000,9972431.941,5070987.188,2561690.52,3365314.41,1404017.0369999998,19400000,13800000,5739768.587,1461486.707,70900000,36200000,11100000,5511977.778,22000000,7546350.7979999995,10600000,10300000,1890723.322,1834359.521,2135614.123,1660165.905,727878.7781,2536291.996,1694481.53,109187.2427,594836.0881,588701.5746,941919.2229,608862.0173,631476.2887,823269.7204,583375.1842,650322.9653
646,420.4049887,12.67700342,22,51,3,4,0,0,0,0,0,0,0,2.318181818,0.136363636,0.181818182,0,-0.5,-0.022727273,C22H51N4O3,1,86534.02852,66578.78399,64033.66427000001,59649.235810000006,124596.5774,154996.2366,83269.34401,319730.6427,77093.43171,117561.8741,170170.4562,61588.22701,12846.42042,48979.78588,173501.2485,209044.9428,50318.70262,16047.22464,86353.83889,72273.45062999999,64365.1852,110401.2586,113763.4901,368184.3068,97816.62083,45531.37275,84453.18985,119899.8218,651187.5004,232362.6339,346418.3786,150513.9139,163379.272,183179.4374,122948.9402,14623.94425,441715.7526,229522.1331,483234.4274,227120.831,311428.0764,389444.0556,132815.3397,368402.6027
683,438.2872621,10.30013102,14,39,6,8,0,0,0,0,0,0,0,2.785714286,0.428571429,0.571428571,0,-0.5,-0.035714286,C14H39N8O6,1,1124819.9170000001,1189037.78,1653424.429,1727995.132,4331196.195,4712023.892,2143472.461,1705188.5969999998,4813469.886,4973949.358,1078664.383,1317166.928,3950474.54,3171580.833,1589404.295,1792738.48,4572044.197,3213064.67,3306087.063,2647877.598,3712241.8230000003,2623977.909,1088552.202,2475453.624,4904990.906,3183342.874,2612570.49,2668192.222,3754984.445,3484779.392,3126895.5130000003,3978732.912,2015301.4740000002,2378464.117,2625722.525,348822.0397,5472070.126,6750617.794,5164449.4180000005,6588559.433999999,8370304.397000001,8291646.068,10700000,10600000
684,438.3792209,11.06401692,21,49,5,4,0,0,0,0,0,0,0,2.333333333,0.238095238,0.19047619,0,-0.5,-0.023809524,C21H49N4O5,1,6861904.342999999,5645745.1389999995,7188609.966,7383922.497,11600000,11700000,12100000,33800000,9943856.568,10800000,17700000,14300000,12400000,9359371.496,13100000,9451615.292000001,10500000,7507954.157000001,9992333.516,11700000,14100000,9065428.347000001,10900000,11900000,6829066.399,4143140.2610000004,18500000,21800000,42100000,27400000,38100000,50900000,7353699.945,10500000,13400000,577860.8349,63200000,63300000,63700000,61800000,10600000,16000000,14100000,16900000
707,448.2745182,3.561155682,19,37,7,5,0,0,0,0,0,0,0,1.947368421,0.368421053,0.263157895,0,4,0.210526316,C19H37N5O7,0.982282282,1928786.2580000001,1147578.483,1133468.937,2575998.91,19500000,17400000,7980276.951,15500000,19100000,25400000,14400000,16700000,12500000,13800000,9082732.746,7473376.86,1441463.435,578452.9713,17100000,11500000,1347077.769,775889.4803,833174.4286,862112.9642,12100000,10400000,1549577.799,877706.6022,4135530.7819999997,4229079.778,1415630.071,2299010.412,2963913.925,3128633.445,1453680.01,28668.39059,10600000,14600000,12500000,11300000,13100000,13800000,11400000,13700000
717,453.3439079,2.854648341,24,44,4,4,0,0,0,0,0,0,0,1.833333333,0.166666667,0.166666667,0.055555556,5,0.208333333,C24H44N4O4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30828.25933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67099.00591
720,454.2933638,10.17009349,21,44,7,1,0,1,0,0,0,0,0,2.095238095,0.333333333,0.047619048,0,1,0.047619048,C21H44NO7P,1,230200.5297,131193.8363,0,0,279783.6873,381075.6455,32500000,30100000,264863.3489,308214.9547,38100000,31200000,485098.9423,518600.66299999994,7109177.43,1755046.9740000002,336089.1319,172491.0963,9872306.947,6135613.6729999995,193785.7479,422446.8973,18800000,30100000,295152.2859,267524.0904,16300000,27700000,557093.4519,737388.1221,29800000,27800000,541919.6119,413531.5247,15400000,817241.37,1449556.925,40996.544689999995,2919756.352,2787723.258,0,571603.6318,1207027.133,1068490.635
738,462.3410964,9.887673182,24,47,7,1,0,0,0,0,0,0,0,1.958333333,0.291666667,0.041666667,0,2,0.083333333,C24H47NO7,0.9995996,240921.9482,186877.7064,179025.3537,146149.9552,995530.4484,643407.0126,641618.8199,736427.2865,1481476.96,1560027.2719999999,451356.6541,347588.9038,549744.7939,836376.5411,289969.6022,213358.7034,1869384.049,665094.5275,557572.9663,1655510.4219999998,932532.4644,582396.8047,402436.2748,420406.6684,1229481.717,502578.6018,696538.5786,1006601.825,586796.9235,554082.4962,694450.9299,1407664.674,192040.0742,401428.3347,212851.7486,0,2397757.8140000002,1276503.162,3489300.542,2095826.251,3759645,3868842.3860000004,4076976.133,5040361.069
742,464.3332457,5.795615042,23,41,3,7,0,0,0,0,0,0,0,1.782608696,0.130434783,0.304347826,0.137931034,7,0.304347826,C23H41N7O3,0.994794795,789061.9563,453953.1869,735635.9466,1066511.472,0,0,0,0,115353.4065,0,0,0,8251610.977999999,7693847.499,6438465.824,7121678.844,2960091.675,3177324.9,5535290.68,6586949.363,3272476.1689999998,2536309.716,2632620.892,3111891.762,8588602.254,8378850.921,2396240.719,2811312.6380000003,1868425.699,1884675.7880000002,1211390.9440000001,2306141.88,3636502.672,2328257.4480000003,1174327.7,180053.5652,0,0,0,0,0,0,0,0
747,468.3897082,10.84407504,22,51,6,4,0,0,0,0,0,0,0,2.318181818,0.272727273,0.181818182,0,-0.5,-0.022727273,C22H51N4O6,1,5771010.516,235296.7046,8390574.47,279264.1033,11700000,10200000,8018045.645,19500000,8244957.482999999,9458936.22,18000000,8134663.703,6693789.2360000005,7295426.845,13100000,11400000,8213682.597999999,2797721.6010000003,8290732.632999999,15600000,7671091.006,10400000,29500000,12600000,1038258.0920000001,4395865.527,16000000,19900000,33000000,28500000,38600000,43600000,2468109.4669999997,14200000,9549492.3,1135298.922,67400000,63200000,65500000,68400000,9766581.911,13700000,16600000,17600000
