variable,p_value,FDR
Dialkylthioethers,0.7985093417627293,0.9999999991815441
Diazanaphthalenes,0.01589853149621904,0.06132789261431975
Diazinanes,5.448339888561684e-4,0.004666239485203636
Diazines,0.0012694146506365095,0.009629416849828378
Dicarboximides,6.866803187386768e-4,0.005787734115083133
Dicarboxylic acids and derivatives,0.9925378206210524,0.9999999991815441
Dichlorobenzenes,0.44569559384636676,0.6940303822065125
Dihydrofurans,0.0489158119212695,0.1467474357638085
Dihydropyranones,0.283122097902294,0.49291093110202655
Dihydropyridinecarboxylic acids and derivatives,0.00219520536288977,0.01519278253137315
Dihydropyridines,0.0027514100993732164,0.01781705808252656
Dimethoxybenzenes,0.12573626769398474,0.27935547341215855
Dioxopiperazines,0.003574395244272525,0.021419386416254817
Dipeptides,3.0843345412825725e-5,6.138305554817486e-4
Diphenylmethanes,0.3455974742073696,0.5734758087628539
Diradylglycerols,0.999888763031039,0.9999999991815441
Disaccharides,0.999999998273696,0.9999999991815441
Diterpene glycosides,0.9791716302216595,0.9999999991815441
Diterpene lactones,0.835776757456915,0.9999999991815441
Diterpenoids,0.998512590457723,0.9999999991815441
Eicosanoids,0.9999864810749967,0.9999999991815441
Enoate esters,0.2254605903118066,0.4162843158217787
Enols,0.20644509295721242,0.39718240710246305
Enones,0.999164972785427,0.9999999991815441
Epoxides,0.8151819407340934,0.9999999991815441
Ethers,0.9958022903224826,0.9999999991815441
Fatty acid esters,0.9999188032772829,0.9999999991815441
Fatty acid methyl esters,0.4144127843626849,0.651044936380431
Fatty acids and conjugates,0.8435270278870028,0.9999999991815441
Fatty acyl glycosides,0.9958081450080627,0.9999999991815441
Fatty acyl glycosides of mono- and disaccharides,0.999824066749698,0.9999999991815441
Fatty Acyls,0.9913578017663058,0.9999999991815441
Fatty alcohols,0.999593050034925,0.9999999991815441
Fatty amides,1.8519071625415167e-4,0.002092261070871373
Flavones,0.7224959980767544,0.9550129876915489
Flavonoids,0.3000217001515785,0.5189300416302547
Formamidines,0.004786768513558616,0.025791468002289573
Furanoid lignans,0.024389717299718016,0.0856977471493587
Furanones,0.2075293393377024,0.3978270006798555
Furans,0.0948022796384959,0.22986306158922978
Furazans,0.9997661937260688,0.9999999991815441
Furofurans,0.8496387949883535,0.9999999991815441
Furopyrans,0.3125316187538893,0.5319047742253693
Galloyl esters,0.3473434862141773,0.5745775426159756
Gamma-keto acids and derivatives,0.4383588198009954,0.6866328416351875
Gamma amino acids and derivatives,0.0034441527075780957,0.021419386416254817
Gamma butyrolactones,0.7008552738797608,0.9513323201154866
"Gluco/mineralocorticoids, progestogins and derivatives",0.9831915376712903,0.9999999991815441
Glucuronic acid derivatives,0.087518858559611,0.2171612798838946
Glucuronides,0.12780166821140063,0.2815879079678578
Glutamic acid and derivatives,0.3412853370828583,0.5680956551441936
Glutamine and derivatives,0.5226540082669999,0.7770593668749849
Glycerol ethers,0.970325887347935,0.9999999991815441
Glycerolipids,0.9999983752189219,0.9999999991815441
Glycerophosphocholines,0.9981986532569158,0.9999999991815441
Glycerophosphoethanolamines,0.9355213162288858,0.9999999991815441
Glycerophospholipids,0.9948029980197948,0.9999999991815441
Glycosyl compounds,0.38257290890295853,0.6174656979558388
Glycosylamines,0.004832338867838157,0.025791468002289573
Guanidines,3.9507914961163656e-4,0.0036170177317892934
Haloalkenes,0.7352919321367746,0.9627059342063525
Halobenzenes,0.5701552601428803,0.8294587483174505
Halogenated fatty acids,0.1991735406538142,0.38598959885830414
Hemiacetals,0.7014931300543441,0.9513323201154866
Heteroaromatic compounds,1.546223311072571e-4,0.0018660104049534891
Heterocyclic fatty acids,0.7653290350749584,0.9863828097689391
Hexoses,0.9921625598461765,0.9999999991815441
Hippuric acids,0.7325675972466378,0.9627059342063525
Hippuric acids and derivatives,0.1469684397755826,0.3105677432426874
Histidine and derivatives,0.02638016245953537,0.08907521616966435
Hydrocarbons,0.7123725728828456,0.9550129876915489
Hydropyridines,5.293656666062335e-5,9.692867895445171e-4
Hydropyrimidines,1.0624203927332151e-4,0.0015670700792814922
Hydroquinolines,0.04464955635100537,0.13864862235312195
Hydroquinolones,0.014602421776397869,0.05786482062139752
Hydroxamic acids,2.1539736260487016e-4,0.002382833323816376
Hydroxy acids and derivatives,0.06570918814533726,0.17848012227679816
"Hydroxy bile acids, alcohols and derivatives",0.9960442337635629,0.9999999991815441
Hydroxy fatty acids,0.6307151540020643,0.8930926580669231
Hydroxybenzoic acid derivatives,0.008463993162341362,0.03953594402320129
Hydroxycoumarins,0.06731823329974042,0.17962804965910634
Hydroxyflavonoids,0.14738808153890248,0.3105677432426874
Hydroxyindoles,0.18727187087776825,0.3667405335854134
Hydroxysteroids,0.7711459636370903,0.9907125306037972
Hypoxanthines,0.1878595576934698,0.3667405335854134
Imidazoles,7.252292710162402e-5,0.0012422475577729792
Imidazolyl carboxylic acids and derivatives,0.003893234689939223,0.021761132845870817
Imidazopyrimidines,0.025681815948068155,0.08855223550924798
Imidolactams,3.4650713679995474e-4,0.003345368902559563
Imines,6.920823324901943e-8,1.224985728507644e-5
Indolecarboxylic acids and derivatives,0.08701282087191105,0.2169192858356092
Indoles,0.233648490186127,0.4263482759066441
Indoles and derivatives,0.024469978816654924,0.0856977471493587
Indolines,0.003811460957103728,0.021530699661937016
Indolizidines,0.061956372233824906,0.173326630319769
Indolyl carboxylic acids and derivatives,0.4039165123119643,0.6441033336176178
Isobenzofuranones,0.12014899049653135,0.2726457861267442
Isocoumarans,0.25169751750026204,0.4518631128698793
Isoindoles,0.4879492655559419,0.7488469942491479
Isoindoles and derivatives,0.5555172609680238,0.8148609546243665
Isoindolines,0.5175243395965023,0.7757172026697627
Isoindolones,0.8244724038187603,0.9999999991815441
Isoleucine and derivatives,0.003105307451690628,0.019866485022261727
Isothioureas,0.003756820154205906,0.021530699661937016
Isoxazoles,0.00821616576296013,0.03895342875117705
Ketals,0.9690428166116515,0.9999999991815441
Ketimines,3.121172316008891e-5,6.138305554817486e-4
Keto acids and derivatives,0.6803968847067438,0.9359863880292252
Ketones,0.9229507125672742,0.9999999991815441
Lactams,5.003699160193068e-6,1.6606026587890745e-4
Lactones,0.9252953346608066,0.9999999991815441
Leucine and derivatives,0.02124009839331484,0.07620602869493365
"Lignans, neolignans and related compounds",0.035820450711050174,0.11458228510582916
Lineolic acids and derivatives,0.9999999464032938,0.9999999991815441
Lipids and lipid-like molecules,0.9999999975146903,0.9999999991815441
Long-chain fatty acids,0.9997722591374931,0.9999999991815441
Lupin alkaloids,0.10733160061665764,0.2510708366847807
Macrolactams,0.044092928997001686,0.13772556057298763
Macrolide lactams,0.5466764129416682,0.8041140589252793
Macrolides and analogues,0.9971061061758584,0.9999999991815441
Medium-chain fatty acids,0.5043804527124273,0.767409800545269
Medium-chain keto acids and derivatives,0.6266355185707133,0.8896883966872962
Menthane monoterpenoids,0.7764069172267486,0.9934266820419362
Methionine and derivatives,0.3142413571828615,0.5331059446137363
Methoxybenzenes,0.035733081827489396,0.11458228510582916
Methyl-branched fatty acids,0.5180411309303558,0.7757172026697627
Methyl esters,0.0013299454886221782,0.009946493724765868
Monoalkyl phosphates,0.30923591406398543,0.5279880076140716
Monoalkylamines,0.002714250510399349,0.017793420012617956
Monoalkylboranes,0.6834071197216615,0.9376981410134425
Monocarboxylic acids and derivatives,0.5280202096548238,0.7809992516064386
Monocyclic monoterpenoids,0.73608024347981,0.9627059342063525
Monoradylglycerols,0.9643988084492623,0.9999999991815441
Monosaccharide phosphates,0.13927171244661413,0.3018501196291922
Monosaccharides,0.19435319505655074,0.3780276431319723
Monoterpenoids,0.5807663196871126,0.8343437862983035
Monothioacetals,0.07464185760155712,0.19334061651915527
Morpholines,9.903992989879517e-4,0.007968212541857611
N-acyl-alpha-hexosamines,0.47579916248965193,0.7344458002383871
N-acyl-alpha amino acids,0.05759868484447577,0.16804891017811338
N-acyl-alpha amino acids and derivatives,1.9386028703804494e-5,4.289158850716744e-4
N-acyl amines,0.0017696522988135124,0.01260536118039428
N-acylethanolamines,0.0026674974039183424,0.017705514018508
N-acylpyrrolidines,0.006300047323223968,0.031860239320304067
N-alkylindoles,0.05600829805372978,0.16567676296324302
N-alkylpiperazines,0.0023004384633953045,0.015660677231575725
N-alkylpyrrolidines,0.051887456059309646,0.1547878604915361
N-arylamides,0.003634892493687023,0.021445865712753438
N-carbamoyl-alpha amino acids and derivatives,1.5225834339640667e-4,0.0018660104049534891
N-substituted carboxylic acid imides,0.10074396174989647,0.24205902121807704
N-substituted imidazoles,0.001120210859130094,0.008878089047732535
N-unsubstituted carboxylic acid imides,0.002203096525265033,0.01519278253137315
Naphthalenes,0.9982969987743053,0.9999999991815441
Naphthopyrans,0.9501381824374604,0.9999999991815441
Naphthoquinones,0.4963043721650148,0.759474413889403
Nitriles,0.3530496543422958,0.5822030014154008
Nitroaromatic compounds,0.225781323835541,0.4162843158217787
Nitrobenzenes,0.2396254446343139,0.4357572297973311
Nitrotoluenes,0.18545440949805658,0.3659705172724352
"Nucleosides, nucleotides, and analogues",0.015922046228641386,0.06132789261431975
O-glucuronides,0.36143001407440184,0.5905210383800228
O-glycosyl compounds,0.9996996502030777,0.9999999991815441
O-methylated flavonoids,0.26377822126498207,0.4637954817606142
Olefins,0.8112807990018603,0.9999999991815441
Oligopeptides,0.002600681795030294,0.017480532065330203
"Organic 1,3-dipolar compounds",1.642874455105301e-6,6.71051027431473e-5
Organic acids and derivatives,0.008779590722379507,0.03953594402320129
Organic carbonic acids and derivatives,0.010985716321555546,0.04629694735512695
Organic cations,0.9549298705642866,0.9999999991815441
Organic cyanides,0.21179372621209452,0.4030912853714057
Organic disulfides,0.5625814960441149,0.820688940657761
Organic metal salts,0.9999999985321026,0.9999999991815441
Organic metalloid salts,0.7596839248488809,0.9819398585273907
Organic nitro compounds,0.2207348224645459,0.4129663137857455
Organic nitrogen compounds,1.3240164327908016e-4,0.0017147627458827211
Organic oxides,0.17034859198633884,0.3447471479797238
Organic oxoanionic compounds,0.13097390011810864,0.28502926624063807
Organic oxoazanium compounds,0.12436715217209934,0.2791650438178694
Organic peroxides,0.9999999681718863,0.9999999991815441
Organic phosphines and derivatives,0.25988320737991977,0.459993277062458
Organic phosphonic acids,0.12890529269830805,0.282845910838023
Organic phosphonic acids and derivatives,0.6675764070299214,0.9231330003460632
Organic phosphoramides,0.5165619406097017,0.7757172026697627
Organic phosphoric acids and derivatives,0.9769093933001899,0.9999999991815441
Organic pyrophosphates,0.1229823837917149,0.27788785444000264
Organic salts,0.9447338323233497,0.9999999991815441
Organic sulfonamides,0.4114554535506724,0.6502465649863305
Organic sulfonic acids and derivatives,0.014324198369572856,0.05718909273867058
Organic sulfuric acids and derivatives,0.12459908735373831,0.2791650438178694
Organic thiophosphoric acids and derivatives,0.9888528732407453,0.9999999991815441
Organic zwitterions,0.06855503794834404,0.18036855078927455
Organoboron compounds,0.9570290418369715,0.9999999991815441
Organobromides,0.16073765093439366,0.3321077534870157
Organochlorides,0.33756112309323194,0.5636633847877552
Organohalogen compounds,0.14691610817804843,0.3105677432426874
Organoheterocyclic compounds,3.831275425118815e-4,0.0035691355276106854
Organometallic compounds,0.40392920921782816,0.6441033336176178
Organometalloid compounds,0.5186056628018187,0.7757172026697627
Organonitrogen compounds,1.6003491132740526e-4,0.0018884119536633822
Organophosphorus compounds,0.6420019263249999,0.9029360809034422
Organopnictogen compounds,9.323792715763409e-5,0.0014561570388442265
Organosulfonamides,0.28114677908653835,0.49108203847023635
Organosulfonic acids,0.3085898145694514,0.5279880076140716
Organosulfonic acids and derivatives,0.016889423649608385,0.06452002847440325
Organosulfur compounds,0.331077008810358,0.5563351002477852
Organothiophosphorus compounds,0.8899116757709482,0.9999999991815441
Ortho amides,0.09099721839526938,0.2237014952217039
Orthocarboxylic acid derivatives,0.810026155449813,0.9999999991815441
Oxacyclic compounds,0.7184759262175293,0.9550129876915489
Oxadiazoles,0.15773504244877817,0.3271769825793016
Oxanes,0.9992281166550474,0.9999999991815441
Oxazinanes,0.005094501307662154,0.026521374454594154
Oxazolidinones,0.003793096418222224,0.021530699661937016
Oxepanes,0.9966095908614789,0.9999999991815441
Oxime ethers,0.09189839681969059,0.2238570246361077
Oxolanes,0.21803577233263344,0.4120177761872895
Oxosteroids,0.6387782009167353,0.9021043209754959
p-Hydroxybenzoic acid esters,0.1704237093607306,0.3447471479797238
Pentose phosphates,0.05647362353361014,0.16567676296324302
Pentoses,0.004857150282917057,0.025791468002289573
Peptides,8.450934071514432e-5,0.001374532764306133
Peptidomimetics,4.2278656296684813e-4,0.003805079066701633
Phenanthrenes and derivatives,0.9997621265316704,0.9999999991815441
Phenazines and derivatives,0.4027644602123323,0.6441033336176178
Phenethylamines,0.06042432992270481,0.17250171606965728
Phenol ethers,0.0013827626075858977,0.010197874230945996
Phenols,0.026384568934411413,0.08907521616966435
Phenoxy compounds,0.0265044899337231,0.08907521616966435
Phenylalanine and derivatives,0.15520061225086396,0.3244548232488534
Phenylcarbamic acid esters,0.5151836433470942,0.7757172026697627
Phenylketones,0.3032385683951523,0.5227911682396944
Phenylmethylamines,0.16407019715093257,0.33637557794264555
Phenylpropanes,0.5237013538432084,0.7770593668749849
Phenylpropanoic acids,0.17331446160159864,0.3485984057213972
Phenylpropanoids and polyketides,0.5813694932775373,0.8343437862983035
Phosphate esters,0.9791876118277273,0.9999999991815441
Phosphatidylcholines,0.9986437268536025,0.9999999991815441
Phosphatidylethanolamines,0.703846350909189,0.9513323201154866
Phosphocholines,0.9752912172819039,0.9999999991815441
Phosphoethanolamines,0.772419939114825,0.9907125306037972
Phosphonic acid esters,0.5238931324693872,0.7770593668749849
Piperazines,3.759152085623454e-4,0.003564481709760811
Piperidinecarboxylic acids,0.021131995082267287,0.07620602869493365
Piperidinecarboxylic acids and derivatives,0.0037515248959262863,0.021530699661937016
Piperidines,1.2362284294934942e-4,0.0016410932401526137
Polycyclic hydrocarbons,0.4527299537088061,0.7029228228636726
Polyols,0.3585104726636016,0.5875588301986804
Porphyrins,0.7183124845848812,0.9550129876915489
Prenol lipids,0.9959129735102118,0.9999999991815441
Primary alcohols,0.6985839194921546,0.9513323201154866
Primary amines,0.0012169786850832391,0.00936561496495685
Primary carboxylic acid amides,1.7095729863046768e-5,3.94688372055558e-4
Proline and derivatives,0.020269722803561336,0.0742291228185591
"Propargyl-type 1,3-dipolar organic compounds",7.115114512135636e-7,3.148438171620019e-5
Prostaglandins and related compounds,0.99977680208138,0.9999999991815441
Pteridines and derivatives,0.01970825808501107,0.07267420168847832
Purine nucleosides,0.062018944935510564,0.173326630319769
Purine nucleotides,0.04563709744273629,0.13992735403319698
Purine ribonucleoside monophosphates,0.015938322374342985,0.06132789261431975
Purine ribonucleotides,0.059983540335504806,0.17216897253055705
Purines and purine derivatives,0.04810004273447416,0.14512001529548738
Purinones,0.1432803736292477,0.3080237991786661
Pyranones and derivatives,0.25535884387313434,0.45349680968774025
Pyrans,0.007267693080332184,0.03508313659687627
Pyrazines,0.008641462716087055,0.03953594402320129
Pyrazolines,0.1679520399590853,0.34300974314720883
Pyridinecarboxylic acids,3.2005299990808263e-4,0.0031471878324294796
Pyridinecarboxylic acids and derivatives,4.51128016638591e-7,2.6616552981676868e-5
Pyridines and derivatives,5.491977637508837e-7,2.9162401255171924e-5
Pyrimidine nucleosides,0.10294907943133258,0.2443517444921729
Pyrimidine nucleotides,0.31737559402954846,0.5367084090117523
Pyrimidine ribonucleotides,0.40553616605661924,0.6447296532217509
Pyrimidines and pyrimidine derivatives,0.0017804182458184012,0.01260536118039428
Pyrimidones,2.47934283750085e-4,0.0026867980545162273
Pyrrole carboxylic acids,0.14992706671270412,0.31466906096618924
Pyrrole carboxylic acids and derivatives,2.6183720513801823e-4,0.0027261873711428956
Pyrroles,0.011988816140698902,0.048595888326039054
Pyrrolidine-2-ones,0.013558704490625602,0.05454297033728935
Pyrrolidine carboxylic acids,0.010810502974415877,0.04629336354366799
Pyrrolidine carboxylic acids and derivatives,0.00887272086205087,0.03953594402320129
Pyrrolidinecarboxamides,0.007261666552702639,0.03508313659687627
Pyrrolidines,0.006692234411378756,0.03321099506955252
Pyrrolidones,0.020626600142021608,0.07501866216036626
Pyrrolines,1.1844680521538731e-4,0.0016410932401526137
Pyrrolizines,0.0799453858487795,0.20416579569692575
Quaternary ammonium salts,0.9792176746195864,0.9999999991815441
Quinolidines,0.5348600204613468,0.7889185301804866
Quinolines and derivatives,0.007795334646299291,0.03729119547013445
Quinolizidines,0.5112508646571715,0.7756405975227374
Quinones,0.9660183402884133,0.9999999991815441
Quinoxalines,0.5973301826644245,0.8526406639645414
Ribonucleoside 3'-phosphates,0.6496616093917316,0.9078166173342355
Salicylic acid and derivatives,0.017454327735535097,0.06620177162549383
Secondary alcohols,0.922502821501785,0.9999999991815441
Secondary amines,2.6250996158241238e-9,1.3939278960026098e-6
Secondary carboxylic acid amides,6.224674626000666e-7,3.004820205823958e-5
Secondary ketimines,0.006383014506331217,0.03197528964964034
Serine and derivatives,0.11917954517082156,0.2716066029429453
Sesquiterpenoids,0.9961308632429158,0.9999999991815441
Sphingolipids,0.9999745926600856,0.9999999991815441
Steroid esters,0.9934157421336418,0.9999999991815441
Steroid lactones,0.9991001450405135,0.9999999991815441
Steroidal glycosides,0.9999976280080654,0.9999999991815441
Steroids and steroid derivatives,0.9870747559574352,0.9999999991815441
Straight chain fatty acids,0.7221808150652149,0.9550129876915489
Styrenes,0.4564463586784101,0.7066268701406291
Substituted imidazoles,8.542294015461845e-5,0.001374532764306133
Substituted pyrroles,0.06860059837666257,0.18036855078927455
