Taxonomy,term,comparison,estimate,conf.low,conf.high,adj.p.value
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae,Organism,subpacifica-galaxiae,0.027195447415853335,0.015344341853142119,0.039046552978564554,0.0013773023947428742
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae,Organism,multiseries-hasleana,0.027067304667347063,0.015216199104635847,0.03891841023005828,0.0014082543652468305
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae,Organism,subpacifica-hasleana,0.027195447415853318,0.015344341853142101,0.03904655297856453,0.0013773023947428742
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,Organism,multiseries-delicatissima,-0.4009528020455741,-0.6130292400422304,-0.1888763640489178,0.003389156091903822
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,Organism,subpacifica-delicatissima,-0.47156342280764474,-0.6836398608043011,-0.2594869848109884,0.0015971496554164633
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,Organism,multiseries-galaxiae,-0.34020823627214875,-0.552284674268805,-0.12813179827549245,0.007111906904905929
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,Organism,subpacifica-galaxiae,-0.4108188570342194,-0.6228952950308757,-0.1987424190375631,0.0030312930708206176
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,Organism,multiseries-hasleana,-0.3968953800957575,-0.6089718180924137,-0.18481894209910119,0.003550675625206501
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,Organism,subpacifica-hasleana,-0.4675060008578281,-0.6795824388544844,-0.2554295628611718,0.0016631656609463752
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,Organism,multiseries-delicatissima,0.16678320300973926,0.08346621888732741,0.2501001871321511,0.002605328257707762
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,Organism,subpacifica-delicatissima,0.11809458199704494,0.034777597874633095,0.20141156611945676,0.01221193433967549
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,Organism,multiseries-galaxiae,0.2274968952770882,0.14417991115467635,0.3108138793995,6.032283051596865e-4
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,Organism,subpacifica-galaxiae,0.17880827426439388,0.09549129014198204,0.2621252583868057,0.0018852763282476426
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,Organism,multiseries-hasleana,0.22749689527708816,0.14417991115467632,0.3108138793995,6.032283051596865e-4
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,Organism,subpacifica-hasleana,0.17880827426439386,0.09549129014198202,0.26212525838680567,0.0018852763282476426
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae,Organism,multiseries-delicatissima,0.07857931564859247,0.047365430254541686,0.10979320104264326,8.887538393554939e-4
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae,Organism,subpacifica-delicatissima,0.1623744878467863,0.1311606024527355,0.19358837324083708,2.629502092188485e-5
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae,Organism,multiseries-galaxiae,0.07857931564859251,0.04736543025454173,0.10979320104264328,8.887538393554939e-4
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae,Organism,subpacifica-galaxiae,0.16237448784678632,0.13116060245273553,0.1935883732408371,2.629502092188485e-5
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae,Organism,multiseries-hasleana,0.07857931564859251,0.04736543025454173,0.10979320104264328,8.887538393554939e-4
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae,Organism,subpacifica-hasleana,0.16237448784678632,0.13116060245273553,0.1935883732408371,2.629502092188485e-5
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae,Organism,subpacifica-multiseries,0.08379517219819381,0.05258128680414303,0.11500905759224458,6.542614274821501e-4
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Organism,hasleana-delicatissima,-0.11023248263696078,-0.1966625083380946,-0.02380245693582697,0.01908201403903298
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Organism,multiseries-delicatissima,-0.5952148493459278,-0.6816448750470616,-0.508784823644794,1.0565146780439072e-5
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Organism,subpacifica-delicatissima,0.515014871711231,0.42858484601009716,0.6014448974123647,1.6894574056958156e-5
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Organism,hasleana-galaxiae,-0.1465942221758771,-0.2330242478770109,-0.060164196474743276,0.005546158584542993
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Organism,multiseries-galaxiae,-0.6315765888848441,-0.7180066145859779,-0.5451465631837104,8.42463803440996e-6
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Organism,subpacifica-galaxiae,0.47865313217231464,0.39222310647118086,0.5650831578734484,2.1213024774202616e-5
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Organism,multiseries-hasleana,-0.48498236670896705,-0.5714123924101009,-0.3985523410078332,2.033947496837829e-5
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Organism,subpacifica-hasleana,0.6252473543481918,0.538817328647058,0.7116773800493256,8.771429560794353e-6
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Organism,subpacifica-multiseries,1.1102297210571588,1.0237996953560249,1.1966597467582927,5.771423415845689e-7
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae,Organism,galaxiae-delicatissima,0.35276147854101497,0.23851170333450677,0.46701125374752317,3.332625834308045e-4
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae,Organism,hasleana-delicatissima,0.2060965350040057,0.09184675979749753,0.3203463102105139,0.0041986103861654245
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae,Organism,multiseries-delicatissima,0.5986095901892374,0.48435981498272923,0.7128593653957456,2.561763597908051e-5
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae,Organism,hasleana-galaxiae,-0.14666494353700926,-0.26091471874351746,-0.03241516833050108,0.01857239625040663
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae,Organism,multiseries-galaxiae,0.2458481116482225,0.13159833644171431,0.3600978868547307,0.0018619599863415326
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae,Organism,subpacifica-galaxiae,-0.34692548388567895,-0.46117525909218715,-0.23267570867917076,3.6145493962258524e-4
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae,Organism,multiseries-hasleana,0.3925130551852318,0.2782632799787236,0.50676283039174,1.965443879502482e-4
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae,Organism,subpacifica-hasleana,-0.2002605403486697,-0.3145103155551779,-0.08601076514216151,0.004782293782696012
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae,Organism,subpacifica-multiseries,-0.5927735955339015,-0.7070233707404097,-0.4785238203273933,2.6549170922707255e-5
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae,Organism,galaxiae-delicatissima,-0.13899119159508572,-0.2521348379226116,-0.025847545267559807,0.022277119021786085
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae,Organism,hasleana-delicatissima,-0.20768809187604553,-0.32083173820357147,-0.09454444554851962,0.0038785863508380425
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae,Organism,multiseries-delicatissima,0.24675429736783216,0.13361065104030626,0.3598979436953581,0.0017488471299945685
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae,Organism,subpacifica-delicatissima,-0.12998131170526447,-0.24312495803279038,-0.016837665377738564,0.029219506062466927
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae,Organism,multiseries-galaxiae,0.3857454889629179,0.272601842635392,0.49888913529044376,2.0425440753835122e-4
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae,Organism,multiseries-hasleana,0.4544423892438777,0.34129874291635176,0.5675860355714036,8.784437400743972e-5
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae,Organism,subpacifica-multiseries,-0.37673560907309667,-0.4898792554006226,-0.26359196274557073,2.2984572832862593e-4
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oleiphilaceae,Organism,galaxiae-delicatissima,-0.07746674168765143,-0.1515590617830696,-0.003374421592233265,0.04224116555195412
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oleiphilaceae,Organism,hasleana-delicatissima,-0.0774667416876514,-0.15155906178306955,-0.003374421592233237,0.04224116555195412
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oleiphilaceae,Organism,multiseries-galaxiae,0.13380144608857308,0.05970912599315492,0.20789376618399125,0.004177914145372386
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oleiphilaceae,Organism,subpacifica-galaxiae,0.0773642909876753,0.0032719708922571422,0.15145661108309347,0.04245565053584843
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oleiphilaceae,Organism,multiseries-hasleana,0.13380144608857308,0.05970912599315492,0.20789376618399125,0.004177914145372386
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oleiphilaceae,Organism,subpacifica-hasleana,0.07736429098767528,0.0032719708922571145,0.15145661108309344,0.04245565053584821
